0,1,2
Reading this Prospectus,,3
Forward-Looking Statements,,3
Notice to Investors in the United Kingdom,,3
Notice to Investors in the European Economic Area,,4
Transaction Structure Diagram,,5
Transaction Credit Enhancement Diagram,,6
Transaction Payments Diagram,,7
Transaction Parties and Documents Diagram,,8
Summary,,9
Summary of Risk Factors,,17
Risk Factors,,19
Sponsor and Servicer,,40
General,,40
Ratings of Sponsor and Servicer,,41
Securitization Experience,,41
Securitization Program for Retail Installment Sale Contracts,,42
"Origination, Underwriting and Purchasing",,42
Origination Characteristics,,49
"Material Changes to Origination, Underwriting and Purchasing Policies and Procedures",,51
Servicing Experience,,51
Servicing and Collections,,52
"Delinquency, Repossession and Credit Loss Information",,55
Material Changes to Servicing Policies and Procedures,,58
Demands to Repurchase Receivables – Prior Securitized Pools,,59
Static Pool Information – Prior Securitized Pools,,59
Receivables,,59
Trust Assets,,59
Selection of Receivables,,60
Simple Interest Receivables,,61
Composition of Receivables,,62
Initial Asset-Level Data,,74
Depositor Review of Receivables,,74
Representations About Receivables,,75
Obligation to Repurchase Receivables,,76
Asset Representations Review,,76
Dispute Resolution for Repurchase Requests,,79
Description of the Notes,,80
Funds Available for Payments,,80
Payments of Interest,,81
Payments of Principal,,84
Priority of Payments,,85
Post-Acceleration Priority of Payments,,87
Events of Default and Acceleration,,87
"Optional Redemption or ""Clean Up Call"" Option",,89
Satisfaction and Discharge of Indenture,,90
Amendments to Indenture,,90
Noteholder Communication,,91
Book-Entry Registration,,92
Computing Outstanding Principal Amount,,93
Notes Held by Transaction Parties,,93
Credit Enhancement,,93
Reserve Account,,93
