0,1,2
,Floating Rate Securities,124.0
,Book-Entry Registration,124.0
,Definitive Securities,127.0
,,
DESCRIPTION  OF THE TRANSFER AND SERVICING AGREEMENTS,DESCRIPTION  OF THE TRANSFER AND SERVICING AGREEMENTS,128.0
,Sale and Assignment of Receivables;  Representations and Warranties,128.0
,Asset Representations Review,130.0
,Dispute Resolution,133.0
,Accounts,134.0
,Servicing Procedures,135.0
,Servicing Compensation,136.0
,Insurance on Financed Vehicles,137.0
,Collections,137.0
,Electronic Contracts,138.0
,Advances,139.0
,Net Deposits,139.0
,Statements to Securityholders,139.0
,Noteholder Communication,141.0
,List of Noteholders,142.0
,Evidence as to Compliance,142.0
,Certain Matters Regarding the  Servicer,143.0
,Servicer Default,143.0
,Rights Upon Servicer Default;  Removal of Servicer,144.0
,Waiver of Past Defaults,144.0
,Amendment,145.0
,List of Certificateholders,145.0
,Insolvency Event,146.0
,Payment of Notes,146.0
,Termination; Optional Redemption,146.0
,Administration Agreement,147.0
,"Duties of the Owner Trustee,  the Delaware Trustee and the Indenture Trustee",148.0
,"The Owner Trustee, the Delaware  Trustee and the Indenture Trustee",149.0
,Fees and Expenses,150.0
,,
LEGAL  PROCEEDINGS,LEGAL  PROCEEDINGS,150.0
,,
CERTAIN  LEGAL ASPECTS OF THE RECEIVABLES,CERTAIN  LEGAL ASPECTS OF THE RECEIVABLES,151.0
,General,151.0
,Security Interests,151.0
,Repossession,153.0
,Notice of Sale; Redemption  Rights,153.0
,Deficiency Judgments and Excess  Proceeds,154.0
