0,1,2
IMPORTANT NOTICE ABOUT INFORMATION PRESENTED IN THIS PROSPECTUS,,1
REPORTS TO NOTEHOLDERS,,1
WHERE YOU CAN FIND MORE INFORMATION ABOUT YOUR NOTES,,1
The Issuing Entity,,1
The Depositor,,1
Static Pool Data,,2
SUMMARY OF PARTIES TO  THE TRANSACTION1,,4
SUMMARY OF MONTHLY DEPOSITS TO AND WITHDRAWALS FROM ACCOUNTS*,,5
SUMMARY OF MONTHLY DISTRIBUTIONS OF AVAILABLE AMOUNTS,,6
SUMMARY OF TERMS,,7
DESCRIPTION OF THE RECEIVABLES; ISSUING ENTITY PROPERTY,,9
DESCRIPTION OF THE SECURITIES,,14
SUMMARY OF RISK FACTORS,,26
RISK FACTORS,,28
DEFINED TERMS,,42
THE ISSUING ENTITY,,43
General,,43
Capitalization of the Issuing Entity,,45
THE DEPOSITOR,,46
"THE SPONSOR, ORIGINATOR, SERVICER AND ADMINISTRATOR",,47
General,,47
Securitization Experience,,47
Origination,,48
Servicing Experience,,49
CREDIT RISK RETENTION,,50
REPURCHASE REQUESTS,,50
AFFILIATIONS AND RELATED TRANSACTIONS,,51
THE OWNER TRUSTEE,,51
THE DELAWARE TRUSTEE,,51
THE INDENTURE TRUSTEE,,52
LIMITATION OF LIABILITY AND RESIGNATION OF THE TRUSTEES,,52
