0,1,2
Reading this Prospectus,,3
Forward-Looking Statements,,3
Notice to Investors in the United Kingdom,,3
Notice to Investors in the European Economic Area,,4
Transaction Structure Diagram,,5
Transaction Credit Enhancement Diagram,,6
Transaction Payments Diagram,,7
Transaction Parties and Documents Diagram,,8
Summary,,9
Summary of Risk Factors,,16
Risk Factors,,18
Sponsor and Servicer,,39
General,,39
Ratings of Sponsor and Servicer,,40
Securitization Experience,,40
Securitization Program for Retail Installment Sale Contracts,,41
"Origination, Underwriting and Purchasing",,41
Origination Characteristics,,48
"Material Changes to Origination, Underwriting and Purchasing Policies and Procedures",,50
Servicing Experience,,50
Servicing and Collections,,51
"Delinquency, Repossession and Credit Loss Information",,54
Material Changes to Servicing Policies and Procedures,,57
Demands to Repurchase Receivables – Prior Securitized Pools,,58
Static Pool Information – Prior Securitized Pools,,58
Receivables,,58
Trust Assets,,58
Selection of Receivables,,59
Simple Interest Receivables,,59
Composition of Receivables,,61
Initial Asset-Level Data,,67
Depositor Review of Receivables,,67
Representations About Receivables,,68
Obligation to Repurchase Receivables,,69
Asset Representations Review,,69
Dispute Resolution for Repurchase Requests,,72
Description of the Notes,,73
Funds Available for Payments,,73
Payments of Interest,,74
Payments of Principal,,77
Priority of Payments,,78
Post-Acceleration Priority of Payments,,80
Events of Default and Acceleration,,80
"Optional Redemption or ""Clean Up Call"" Option",,82
Satisfaction and Discharge of Indenture,,83
Amendments to Indenture,,83
Noteholder Communication,,84
Book-Entry Registration,,85
Computing Outstanding Principal Amount,,86
Notes Held by Transaction Parties,,86
Credit Enhancement,,86
Reserve Account,,86
