0,1,2,3,4
,,,,
IMPORTANT NOTICE ABOUT INFORMATION PRESENTED IN THIS PROSPECTUS,,,i,
FORWARD LOOKING STATEMENTS,,,i,
NOTICES TO RESIDENTS OF THE UNITED KINGDOM,,,i,
NOTICES TO RESIDENTS OF THE EUROPEAN ECONOMIC AREA,,,ii,
SUMMARY,,,1,
RISK FACTORS,,,9,
SUMMARY OF TRANSACTION PARTIES*,,,23,
SUMMARY OF MONTHLY DEPOSITS TO AND WITHDRAWALS FROM ACCOUNTS*,,,24,
THE SPONSOR,,,25,
ACQUISITION AND UNDERWRITING,,,26,
Acquisition and Underwriting,,,26,
Underwriting Exceptions,,,27,
THE SERVICER,,,27,
SERVICING PROCEDURES,,,28,
Collections,,,30,
Servicing Compensation and Payment of Expenses,,,31,
THE TRUST,,,31,
Capitalization of the Trust,,,32,
THE RECEIVABLES POOL,,,33,
Tangible and Electronic Contracting,,,33,
Criteria Applicable to the Selection of Receivables,,,34,
Composition of the Receivables Pool—(Total: New and Used),,,36,
Composition of the Receivables Pool—(New),,,36,
Composition of the Receivables Pool—(Used),,,36,
Distribution of the Receivables Pool by Annual Percentage Rate—Aggregate,,,37,
Distribution of the Receivables Pool by State,,,37,
Distribution of the Receivables Pool by Loan-to-Value Ratio,,,38,
Distribution of the Receivables Pool by FICO Score,,,38,
Distribution of the Receivables Pool by Original Term,,,38,
Distribution of the Receivables Pool by Vehicle Make,,,39,
Distribution of the Receivables Pool by Vehicle Model,,,39,
Depositor Review of the Receivables Pool,,,39,
Exceptions to Underwriting Guidelines,,,41,
Asset Representations Review,,,41,
Dispute Resolution,,,45,
REPURCHASE HISTORY,,,46,
ASSET-LEVEL DATA FOR THE RECEIVABLES,,,46,
THE SPONSOR’S PORTFOLIO DATA,,,47,
"Delinquencies, Repossessions, Bankruptcies and Net Losses",,,47,
STATIC POOL INFORMATION,,,49,
WEIGHTED AVERAGE LIFE OF THE OFFERED NOTES,,,50,
Percent of Initial Note Principal Balance Outstanding at Various ABS Percentages,,,52,
