0,1
Assumed Final Distribution Date; Rated Final Distribution Date,387
Prepayment Interest Shortfalls,388
Subordination; Allocation of Realized Losses,389
Reports to Certificateholders; Certain Available Information,392
Certificate Administrator Reports,392
Information Available Electronically,399
Voting Rights,404
"Delivery, Form, Transfer and Denomination",405
Book-Entry Registration,405
Definitive Certificates,409
Certificateholder Communication,409
Access to Certificateholders’ Names and Addresses,409
Requests to Communicate,409
List of Certificateholders,410
Description of the Mortgage Loan Purchase Agreements,410
General,410
Dispute Resolution Provisions,422
Asset Review Obligations,422
Pooling and Servicing Agreement,422
General,422
Assignment of the Mortgage Loans,423
Servicing Standard,423
Subservicing,425
Advances,426
P&I Advances,426
Servicing Advances,427
Nonrecoverable Advances,428
Recovery of Advances,429
Accounts,431
Withdrawals from the Collection Account,433
Servicing and Other Compensation and Payment of Expenses,435
General,435
Master Servicing Compensation,440
Special Servicing Compensation,444
Disclosable Special Servicer Fees,448
Certificate Administrator and Trustee Compensation,449
Operating Advisor Compensation,449
Asset Representations Reviewer Compensation,450
CREFC® Intellectual Property Royalty License  Fee,451
Appraisal Reduction Amounts,452
Maintenance of Insurance,459
"Modifications, Waivers and Amendments",463
Enforcement of “Due-on-Sale” and “Due-on-Encumbrance” Provisions,468
Inspections,471
Collection of Operating Information,471
Special Servicing Transfer Event,472
Asset Status Report,475
Realization Upon Mortgage Loans,479
Sale of Defaulted Loans and REO Properties,481
The Directing Certificateholder,485
General,485
Major Decisions,487
Asset Status Report,492
