0,1,2,3,4
,,,,
ERISA Considerations,,,120,
Publicly-Offered Security,,,120,
The Department of Labor Authorization,,,121,
Class A Certificates,,,123,
Consultation With Counsel,,,123,
Underwriting,,,125,
Offering Restrictions,,,126,
Legal Matters,,,127,
Reports to Certificateholders,,,127,
Investor Communications,,,127,
Where You Can Find More Information,,,127,
Forward-Looking Statements,,,128,
Glossary of Defined Terms,,,129,
Annex I: The Trust Portfolio,,,A-I-1,
Annex II: Other Series,,,A-II-1,
