0,1,2,3,4
,,,,
ERISA Considerations,,,121,
Publicly-Offered Security,,,122,
The Department of Labor Authorization,,,122,
Class A Certificates,,,125,
Consultation With Counsel,,,125,
Underwriting,,,126,
Offering Restrictions,,,127,
Legal Matters,,,128,
Reports to Certificateholders,,,128,
Investor Communications,,,128,
Where You Can Find More Information,,,128,
Forward-Looking Statements,,,129,
Glossary of Defined Terms,,,130,
Annex I: The Trust Portfolio,,,A-I-1,
Annex II: Other Series,,,A-II-1,
