0,1,2,3,4,5
Month,Cumulative Net  Loss,Month,Cumulative Net  Loss,Month,Cumulative Net  Loss
1,0.00%,16,0.33%,31,0.62%
2,0.01%,17,0.35%,32,0.64%
3,0.02%,18,0.38%,33,0.65%
4,0.04%,19,0.40%,34,0.66%
5,0.06%,20,0.42%,35,0.67%
6,0.08%,21,0.44%,36,0.69%
7,0.10%,22,0.46%,37,0.70%
8,0.13%,23,0.48%,38,0.71%
9,0.15%,24,0.50%,39,0.72%
10,0.18%,25,0.52%,40,0.73%
11,0.20%,26,0.54%,41,0.74%
12,0.23%,27,0.56%,42,0.74%
13,0.25%,28,0.58%,,
14,0.28%,29,0.59%,,
15,0.30%,30,0.61%,,
