0,1
"Receivables, Group 1 Assets and Series 2025-7 Assets",114
Description of the Receivables,115
Criteria for Selecting the Receivables,115
Composition of the Receivables,116
Additional Receivables,121
Series 2025-7 Concentration Limits,121
Representations About the Receivables,122
Asset Representations Review,123
Obligation to Acquire or Reacquire Receivables; Obligation to Make Credit Payments and Upgrade Prepayments,127
Dispute Resolution,130
Review of Receivables,131
Static Pool Information,132
Description of the Notes,133
Pool Balance and Required Pool Balance,133
Allocation of Group 1 Available Funds,133
Series 2025-7 Available Funds,134
Payments of Interest,134
Payments of Principal,137
Revolving Period,137
Amortization Period,138
Earliest Redemption Date; Optional Redemption of the Notes,139
Anticipated Redemption Date,139
Make-Whole Payments,140
Priority of Payments,140
Post-Acceleration Priority of Payments,143
Controlling Class; Voting Rights,144
Events of Default,144
Notes Owned by Transaction Parties,147
List of Noteholders,147
Noteholder Communications,148
