0,1
SUMMARY OF PARTIES TO THE TRANSACTION,6
SUMMARY OF MONTHLY DISTRIBUTIONS OF COLLECTIONS,7
SUMMARY OF TERMS,8
SUMMARY OF RISK FACTORS,27
RISK FACTORS,29
THE ISSUING ENTITY,50
CAPITALIZATION OF THE ISSUING ENTITY,52
THE DEPOSITOR,54
"THE SPONSOR, ADMINISTRATOR AND SERVICER",55
Credit Risk Retention,56
Underwriting of Motor Vehicle Retail Installment Sales Contracts,56
Electronic Contracts and Electronic Contracting,58
Servicing of Motor Vehicle Retail Installment Sales Contracts,58
Securitization Experience,60
THE TRUSTEES,60
Duties of the Owner Trustee and Indenture Trustee,63
FEES AND EXPENSES,64
ASSET REPRESENTATIONS REVIEWER,65
General,65
Resignation and Removal,66
Indemnity and Liability,66
AFFILIATIONS AND CERTAIN RELATIONSHIPS,66
THE RECEIVABLES,67
Asset-Level Data for the Receivables,81
POOL UNDERWRITING,81
REVIEW OF POOL ASSETS,82
"DELINQUENCIES, REPOSSESSIONS AND NET LOSSES",83
ASSET REPRESENTATIONS REVIEW,86
Delinquency Trigger,88
REPURCHASES OF RECEIVABLES,89
Dispute Resolution,91
STATIC POOLS,92
USE OF PROCEEDS,92
PREPAYMENT AND YIELD CONSIDERATIONS,92
WEIGHTED AVERAGE LIVES OF THE NOTES,94
POOL FACTORS AND TRADING INFORMATION,119
DESCRIPTION OF THE NOTES,119
General,119
Payments of Interest,119
Payments of Principal,124
Allocation of Losses,125
Indenture,125
Notices,129
Governing Law,129
Minimum Denominations,129
Book-Entry Registration,130
Definitive Securities,134
List of Securityholders,134
Reports to Securityholders,135
PAYMENTS TO NOTEHOLDERS,136
Calculation of Available Collections,136
Calculation of Principal Distribution Amounts,137
Priority of Payments,138
Payments After Occurrence of Event of Default Resulting in Acceleration,139
