0,1
Eligibility of Asset Representations Reviewer,504
Other Obligations of Asset Representations Reviewer,505
Delegation of Asset Representations Reviewer’s Duties,505
Asset Representations Reviewer Termination Events,506
Rights Upon Asset Representations Reviewer Termination Event,507
Termination of the Asset Representations Reviewer Without Cause,507
Resignation of Asset Representations Reviewer,507
Asset Representations Reviewer Compensation,508
Limitation on Liability of Risk Retention Consultation Parties,508
Replacement of the Special Servicer Without Cause,509
Replacement of the Special Servicer After Operating Advisor Recommendation and Investor Vote,511
Termination of the Master Servicer or Special Servicer for Cause,513
Servicer Termination Events,513
Rights Upon Servicer Termination Event,514
Waiver of Servicer Termination Event,516
Resignation of the Master Servicer or Special Servicer,516
Limitation on Liability; Indemnification,517
Enforcement of Mortgage Loan Seller’s Obligations Under the MLPA,520
Dispute Resolution Provisions,521
Certificateholder’s Rights When a Repurchase Request Is Initially Delivered by a Certificateholder,521
Repurchase Request Delivered by a Party to the PSA,522
Resolution of a Repurchase Request,522
Mediation and Arbitration Provisions,525
Servicing of the Servicing Shift Mortgage Loans,526
Servicing of the Non-Serviced Mortgage Loans,528
Servicing of the International Plaza Mortgage Loan,531
Servicing of the 1010 Pacific Street Mortgage Loan,532
Servicing of the Terra Apartments Mortgage Loan,532
Rating Agency Confirmations,533
Evidence as to Compliance,535
Limitation on Rights of Certificateholders and VRR Interest Owners to Institute a Proceeding,537
Termination; Retirement of Certificates,537
Amendment,539
Resignation and Removal of the Trustee and the Certificate Administrator,542
Governing Law; Waiver of Jury Trial; and Consent to Jurisdiction,543
Certain Legal Aspects of Mortgage Loans,543
General,545
Types of Mortgage Instruments,545
Leases and Rents,546
Personalty,546
Foreclosure,547
General,547
Foreclosure Procedures Vary from State to State,547
Judicial Foreclosure,547
Equitable and Other Limitations on Enforceability of Certain Provisions,547
Nonjudicial Foreclosure/Power of Sale,548
Public Sale,548
Rights of Redemption,549
Anti-Deficiency Legislation,550
Leasehold Considerations,550
