0,1
Summary  of Certificates,3
Important  Notice Regarding the Offered Certificates,17
Important  Notice About Information Presented in this Prospectus,18
Summary  of Terms,28
Summary  of Risk Factors,65
Risk  Factors,67
Description  of the Mortgage Pool,173
Transaction  Parties,247
Credit  Risk Retention,379
Description  of the Certificates,397
Description  of the Mortgage Loan Purchase Agreements,439
Pooling  and Servicing Agreement,452
Certain  Legal Aspects of Mortgage Loans,576
"Certain  Affiliations, Relationships and Related Transactions Involving Transaction Parties",596
Pending  Legal Proceedings Involving Transaction Parties,599
Use  of Proceeds,599
Yield  and Maturity Considerations,600
Material  Federal Income Tax Considerations,612
Certain  State and Local Tax Considerations,627
Method  of Distribution (Conflicts of Interest),627
Incorporation  of Certain Information by Reference,631
Where  You Can Find More Information,632
Financial  Information,632
Certain  ERISA Considerations,632
Legal  Investment,637
Legal  Matters,638
Ratings,638
Index  of Defined Terms,642
