0,1,2,3,4
,,,,
,,Page,Page,
Reading This Prospectus,,,1,
Where You Can Find Additional Information,,,1,
Incorporation of Certain Documents by Reference,,,1,
Copies of the Documents,,,1,
Forward-Looking Statements,,,2,
Transaction Overview,,,4,
Summary of the Notes and the Transaction Structure,,,5,
Summary of Risk Factors,,,15,
Risk Factors,,,17,
The Transaction Parties,,,43,
The Sponsor,,,43,
The Depositor and Seller,,,43,
The Issuing Entity and the Grantor Trust,,,44,
The Servicer,,,47,
The Owner Trustee and Grantor Trust Trustee,,,47,
The Indenture Trustee,,,48,
The Asset Representations Reviewer,,,50,
The CarMax Business,,,51,
The CarMax Retail Business,,,51,
CarMax Auto Finance,,,51,
Underwriting Procedures,,,52,
Additional Underwriting Programs,,,53,
Servicing and Collection Procedures,,,54,
General,,,54,
Physical Damage Insurance,,,55,
GAP Waiver Agreements,,,55,
Historical Performance,,,56,
"Delinquency, Credit Loss and Recovery Information",,,56,
Static Pool Information About Previous Securitizations and for Vintage Origination  Years,,,59,
Repurchases of Receivables in Prior Securitized Pools,,,60,
The Receivables,,,60,
General,,,60,
Criteria Applicable to Selection of Receivables,,,61,
Characteristics of the Receivables,,,62,
Asset-level Data Regarding the Receivables,,,68,
Seller Review of the Pool of Receivables,,,68,
Pool Underwriting,,,69,
Maturity and Prepayment Considerations,,,70,
General,,,70,
Hypothetical Decrement Tables and Weighted Average Lives of the Notes,,,70,
Description of the Notes,,,77,
General,,,77,
Payments of Interest,,,77,
Payments of Principal,,,80,
Credit Enhancement,,,81,
Optional Purchase of the Receivables and Redemption of the Notes,,,83,
Controlling Class,,,83,
Note Registration,,,84,
Bankruptcy Limitation,,,85,
