company,deal_name,asset_type,filing_date,cutoff_date,issuing_entity_cik,registration_number,depositor,sponsor_servicer,aggregate_principal_amount,total_principal_balance,number_of_receivables,avg_principal_balance,wa_apr,wa_fico,wa_original_term,wa_remaining_term,aggregate_securitization_value,aggregate_residual_value,total_trust_receivables,number_of_accounts,number_of_loans,number_of_properties,wa_ltv,wa_dscr,first_payment_date,credit_enhancement_types,filename
FORD,Credit Auto Owner Trust 2026-A,auto_loans,2026-03-12,,0002113024,333-281130,Ford Credit Auto Receivables Two LLC,,$1392630000,$1421040000,52430,$51402.30,4.84,733,53.65,34.99,,,,,,,,,"April 15, 2026",,FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2026-03-12_424H_clean.txt
FORD,Credit Auto Owner Trust 2026-B,auto_loans,2026-06-11,,0002137917,333-281130,Ford Credit Auto Receivables Two LLC,,$1289500000,$1578960000,36713,$51699.09,5.07,731,56.30,36.61,,,,,,,,,"July 15, 2026","reserve account, overcollateralization, subordination, excess interest/spread",FORD_CREDIT_AUTO_RECEIVABLES_TWO_LLC_2026-06-11_424H_clean.txt
SANTANDER,Santander Drive Auto Receivables Trust 2024-4,auto_loans_subprime,2024-08-07,"July 31, 2024",,333-261901,Santander Consumer USA Inc.,The aggregate initial princ,$1217550000,$500.00,,,18.56,604,72,67,,,,,,,,,"September 16, 2024",,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2024-08-07_424H_clean.txt
SANTANDER,Drive Auto Receivables Trust 2024-2,auto_loans_subprime,2024-09-11,"August 31, 2024",,333-261901,Santander Consumer USA Inc.,The aggregate initial princ,$1200000000,$500.00,,,19.73,586,71.66,65.12,,,,,,,,,"October 15, 2024",,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2024-09-11_424H_clean.txt
SANTANDER,Santander Drive Auto Receivables Trust 2024-5,auto_loans_subprime,2024-10-10,"September 30, 2024",,333-261901,Santander Consumer USA Inc.,s costs to obtain such funding significantly inc,$1500000000,$500.00,,,17.71,604,72.03,67.29,,,,,,,,,"November 15, 2024","reserve account, overcollateralization, subordination, excess interest/spread",SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2024-10-10_424H_clean.txt
SANTANDER,Santander Drive Auto Receivables Trust 2025-1,auto_loans_subprime,2025-01-10,"December 31, 2024",,333-261901,Santander Consumer USA Inc.,The aggregate initial princ,$1300420000,$500.00,,,18.06,605,71.62,60.99,,,,,,,,,"March 30, 2026",,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-01-10_424H_clean.txt
SANTANDER,Santander Drive Auto Receivables Trust 2025-2,auto_loans_subprime,2025-03-12,"February 28, 2025",,333-284121,Santander Consumer USA Inc.,The aggregate initial princ,$1307560000,$500.00,,,18.12,604,72,67,,,,,,,,,"March 30, 2026",,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-03-12_424H_clean.txt
SANTANDER,Drive Auto Receivables Trust 2025-1,auto_loans_subprime,2025-05-14,"April 30, 2025",,333-284121,Santander Consumer USA Inc.,include information regarding securitizations sponsored by SC which inc,$1109730000,$500.00,,,19.81,586,72,69,,,,,,,,,"March 30, 2026","reserve account, overcollateralization, subordination, excess interest/spread",SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-05-14_424H_clean.txt
SANTANDER,Santander Drive Auto Receivables Trust 2025-3,auto_loans_subprime,2025-07-17,"June 30, 2025",,333-284121,Santander Consumer USA Inc.,The aggregate initial princ,$1410320000,$500.00,,,17.99,604,71.56,67.08,,,,,,,,,"March 30, 2026",,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-07-17_424H_clean.txt
SANTANDER,Drive Auto Receivables Trust 2025-2,auto_loans_subprime,2025-09-10,"August 31, 2025",,333-284121,Santander Consumer USA Inc.,The aggregate initial princ,$1100000000,$500.00,,,19.76,585,72,67,,,,,,,,,"March 30, 2026",,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-09-10_424H_clean.txt
SANTANDER,Santander Drive Auto Receivables Trust 2025-4,auto_loans_subprime,2025-11-06,"October 31, 2025",,333-284121,Santander Consumer USA Inc.,Consumer USA Inc.,$1564050000,$500.00,,,18.04,602,71.61,67.50,,,,,,,,,"March 30, 2026","reserve account, overcollateralization, subordination, excess interest/spread",SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2025-11-06_424H_clean.txt
SANTANDER,Santander Drive Auto Receivables Trust 2026-1,auto_loans_subprime,2026-02-11,"January 31, 2026",,333-284121,Santander Consumer USA Inc.,The aggregate initial princ,$1254430000,$500.00,,,18.23,605,71.80,66.19,,,,,,,,,"March 30, 2027",,SANTANDER_DRIVE_AUTO_RECEIVABLES_LLC_2026-02-11_424H_clean.txt
VERIZON,,device_payment_revolving,2025-07-22,,,333-278415-01,Verizon ABS II LLC,Cellc,$102180000,,,,,,,,,,,,,,,,"April 13, 2022",excess interest/spread,Verizon_ABS_II_LLC_2025-07-22_424H_clean.txt
VERIZON,,device_payment_revolving,2025-08-04,,,333-278415-01,Verizon ABS II LLC,Cellc,$40870000,,,,,,,,,,,,,,,,"April 13, 2022",excess interest/spread,Verizon_ABS_II_LLC_2025-08-04_424H_clean.txt
VERIZON,,device_payment_revolving,2025-09-03,,,333-278415-01,Verizon ABS II LLC,Cellc,$600000000,,,,,,,,,,,,,,,,"October 20, 2025",excess interest/spread,Verizon_ABS_II_LLC_2025-09-03_424H_clean.txt
VERIZON,,device_payment_revolving,2025-11-13,,,333-278415-01,Verizon ABS II LLC,,$500000000,,,,,,,,,,,,,,,,"April 13, 2022",excess interest/spread,Verizon_ABS_II_LLC_2025-11-13_424H_clean.txt
VERIZON,,device_payment_revolving,2026-03-02,,,333-278415-01,Verizon ABS II LLC,,$700000000,,,,,,,,,,,,,,,,"April 20, 2026",excess interest/spread,Verizon_ABS_II_LLC_2026-03-02_424H_clean.txt
VERIZON,,device_payment_revolving,2026-06-22,,,333-278415-01,Verizon ABS II LLC,,$700000000,,,,,,,,,,,,,,,,"April 13, 2022",excess interest/spread,Verizon_ABS_II_LLC_2026-06-22_424H_clean.txt
WELLS_FARGO,Mortgage Trust 2025-5C6,cmbs,2025-09-17,,,333-282099-06,"Securities, Inc.","condition or engineering report. JPMCB may waive this escrow requirement in certain circumstances, inc",$539381000,$140000000,,,6.4863,,56,360,,,,,26,51,56.4%,1.64x,,subordination,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2025-09-17_424H_clean.txt
WELLS_FARGO,Mortgage Trust 2025-C65,cmbs,2025-09-30,,,333-282099-07,"Securities, Inc.","mortgage loans owned by Wells Fargo Bank from time to time, including, prior to their inc",$613970000,$130000000.,,,,,114,300,,,,,23,79,56.6%,1.91x,"July 1, 2024",subordination,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2025-09-30_424H_clean.txt
WELLS_FARGO,,cmbs,2025-11-13,,,333-282099-08,"Securities, Inc.","with respect to certain mortgage loans owned by JPMCB and such affiliates from time to time, including, prior to their inc",$571531000,$104000000.,,,6.1512,,57,300,,,,,29,72,58.1%,1.84x,,subordination,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2025-11-13_424H_clean.txt
WELLS_FARGO,Mortgage Trust 2025-5C7,cmbs,2025-12-01,,,333-282099-09,"Securities, Inc.","condition or engineering report. JPMCB may waive this escrow requirement in certain circumstances, inc",$672485000,$35000000.,,,6.5698,,56,360,,,,,25,265,57.1%,1.79x,,subordination,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2025-12-01_424H_clean.txt
WELLS_FARGO,,cmbs,2025-12-08,"November 25, 2025",,333-282099-10,"Securities, Inc.","with respect to certain mortgage loans owned by JPMCB and such affiliates from time to time, including, prior to their inc",$894510000,$120000000.,,,6.1615,,82,300,,,,,74,91,,2.83x,"July 1, 2024",subordination,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2025-12-08_424H_clean.txt
WELLS_FARGO,Mortgage Trust 2026-5C8,cmbs,2026-02-11,,,333-282099-11,"SECURITIES, INC.","with respect to certain mortgage loans owned by JPMCB and such affiliates from time to time, including, prior to their inc",$672308000,$250000000,,,,,55,360,,,,,29,40,59.4%,1.92x,"December 9, 2030",subordination,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2026-02-11_424H_clean.txt
WELLS_FARGO,Mortgage Trust 2026-C66,cmbs,2026-03-23,,,333-282099-12,"Securities, Inc.",payments if borrowers must use property inc,$510127000,$938994729.57,,,6.2740,,115,276,,,,,29,49,58.8%,1.64x,"December 31, 2026",subordination,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2026-03-23_424H_clean.txt
WELLS_FARGO,,cmbs,2026-05-05,,,333-282099-13,"Company, a Delaware corp","condition or engineering report. JPMCB may waive this escrow requirement in certain circumstances, inc",$512996000,$25000000,,,6.6458,,55,360,,,,,29,138,59.4%,1.58x,,subordination,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2026-05-05_424H_clean.txt
WELLS_FARGO,,cmbs,2026-05-15,,,333-282099-14,"Securities, Inc.","with respect to certain mortgage loans owned by JPMCB and such affiliates from time to time, including, prior to their inc",$735845000,$852241292.,,,6.2019,,57,300,,,,,27,184,60.1%,1.58x,"March 20, 2034",subordination,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2026-05-15_424H_clean.txt
WELLS_FARGO,Mortgage Trust 2026-5C10,cmbs,2026-06-10,,,333-282099-15,"Securities, Inc.","of BSPRT CMBS Finance, LLC",$475241000,$5376.34,,,,,55,360,,,,,29,62,62.8%,1.66x,,subordination,WELLS_FARGO_COMMERCIAL_MORTGAGE_SECURITIES_INC_2026-06-10_424H_clean.txt
WORLD_OMNI,Omni Auto Receivables Trust 2024-C,auto_loans,2024-08-07,,0002029490,333-261470,Omni Auto Receivables LLC,s certificates. If the aggregate initial princ,$958280000,$1039208826.00,36858,,6.67,756,68.11,62.37,,,,,,,,,,,WORLD_OMNI_AUTO_RECEIVABLES_LLC_2024-08-07_424H_clean.txt
WORLD_OMNI,Omni Auto Receivables Trust 2025-A,auto_loans,2025-01-14,,0002046523,333-261470,Omni Auto Receivables LLC,s certificates. If the aggregate initial princ,$970360000,$1033865020.89,35835,,6.61,756,68.21,60.99,,,,,,,,,,,WORLD_OMNI_AUTO_RECEIVABLES_LLC_2025-01-14_424H_clean.txt
WORLD_OMNI,Omni Auto Receivables Trust 2025-B,auto_loans,2025-05-01,,0002065415,333-283578,Omni Auto Receivables LLC,s certificates. If the aggregate initial princ,$959670000,$1014075243.00,38226,,6.50,756,67.93,60.60,,,,,,,,,,,WORLD_OMNI_AUTO_RECEIVABLES_LLC_2025-05-01_424H_clean.txt
WORLD_OMNI,Auto Receivables Trust 2025-C,auto_loans,2025-07-28,,0002074794,333-283578,Receivables LLC,,$963605000,$1030588930.99,36219,,6.29,758,68.31,61.63,,,,,,,,,,,WORLD_OMNI_AUTO_RECEIVABLES_LLC_2025-07-28_424H_clean.txt
WORLD_OMNI,Auto Trust 2025-A,auto_loans,2025-09-10,"July 31, 2025",0002082708,333-283578,Receivables LLC,,$758360000,$835651463.60,25966,,10.75,559,650,74.54,,,,,,,,,,,WORLD_OMNI_AUTO_RECEIVABLES_LLC_2025-09-10_424H_clean.txt
WORLD_OMNI,Auto Receivables Trust 2025-D,auto_loans,2025-10-01,,0002087069,333-283578,Auto Receivables LLC,,$918380000,$982748036.14,36214,,6.15,757,68.56,61.01,,,,,,,,,,,WORLD_OMNI_AUTO_RECEIVABLES_LLC_2025-10-01_424H_clean.txt
WORLD_OMNI,Receivables Trust 2026-A,auto_loans,2026-02-02,,0002104367,333-283578,Receivables LLC,,$983760000,$1040718152.32,36865,,5.87,758,68.40,68.40,,,,,,,,,,,WORLD_OMNI_AUTO_RECEIVABLES_LLC_2026-02-02_424H_clean.txt
WORLD_OMNI,Omni Auto Receivables Trust 2026-B,auto_loans,2026-04-29,,0002128465,333-283578,Omni Auto Receivables LLC,,$1021500000,$1090953053.46,36188,,5.80,759,68.61,60.41,,,,,,,,,,,WORLD_OMNI_AUTO_RECEIVABLES_LLC_2026-04-29_424H_clean.txt
WORLD_OMNI,Select Auto Trust 2026-A,auto_loans,2026-07-13,"May 31, 2026",0002140699,333-283578,Auto Receivables LLC,,$615190000,$688498417.30,21839,,9.84,647,74.49,67.25,,,,,,,,,,,WORLD_OMNI_AUTO_RECEIVABLES_LLC_2026-07-13_424H_clean.txt
WORLD_OMNI,Auto Receivables Trust 2026-C,auto_loans,2026-08-12,,0002146760,333-283578,Auto Receivables LLC,,$1011080000,,,,,55,,,,,,,,,,,,"reserve account, overcollateralization, excess interest/spread, yield supplement OC",WORLD_OMNI_AUTO_RECEIVABLES_LLC_2026-08-12_424H_clean.txt
