0,1,2,3,4,5,6
Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,,Property  Information,Property  Information
Mortgage Loan Seller:,WFB,WFB,WFB,,Single Asset/Portfolio:,Single Asset
,,,,,Location:,"Denver, CO 80202"
Original Balance(1):,"$55,000,000","$55,000,000","$55,000,000",,General Property Type:,Leased Fee
Cut-off Date Balance(1):,"$55,000,000","$55,000,000","$55,000,000",,Detailed Property Type:,Leased Fee
% of Initial Pool Balance:,9.4%,9.4%,9.4%,,Title Vesting:,Fee
Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,NAP
Borrower Sponsor:,AVR Realty Corporation,AVR Realty Corporation,AVR Realty Corporation,,Size:,"191,437 SF"
Guarantor:,AVR Enterprises LLC,AVR Enterprises LLC,AVR Enterprises LLC,,Cut-off Date Balance PSF(1):,$940
Mortgage Rate:,6.2760%,6.2760%,6.2760%,,Maturity Date Balance PSF(1):,$940
Note Date:,12/1/2025,12/1/2025,12/1/2025,,Property Manager:,Sheraton License Operating
Maturity Date:,1/1/2036,1/1/2036,1/1/2036,,,"Company, LLC (borrower-related)"
Term to Maturity:,121 months,121 months,121 months,,,
Amortization Term:,0 months,0 months,0 months,,Underwriting  and Financial Information(1),Underwriting  and Financial Information(1)
IO Period:,121 months,121 months,121 months,,UW NOI:,"$14,738,237"
Seasoning:,4 months,4 months,4 months,,UW NCF:,"$14,738,237"
Prepayment Provisions(2) :,"L(28),D(86),O(7)","L(28),D(86),O(7)","L(28),D(86),O(7)",,UW NOI Debt Yield:,8.2%
Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,UW NCF Debt Yield:,8.2%
Additional Debt Type(1):,Pari Passu,Pari Passu,Pari Passu,,UW NOI Debt Yield at Maturity:,8.2%
Additional Debt Balance(1):,"$125,000,000","$125,000,000","$125,000,000",,UW NCF DSCR:,1.29x
Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,Most Recent NOI(4):,NAV
Reserves(3),Reserves(3),Reserves(3),Reserves(3),,2nd Most Recent NOI(4):,NAV
Type,Initial,Monthly,Cap,,3rd Most Recent NOI(4):,NAV
RE Taxes:,$0,Springing,NAP,,Most Recent Occupancy:,100.0% (4/1/2026)
Insurance:,$0,Springing,NAP,,2nd Most Recent Occupancy:,100.0% (12/31/2024)
,,,,,3rd Most Recent Occupancy:,100.0% (12/31/2023)
,,,,,Appraised Value (as of):,"$235,000,000 (9/16/2025)"
,,,,,Appraised Value PSF:,"$1,228"
,,,,,Cut-off Date LTV Ratio:,76.6%
,,,,,Maturity Date LTV Ratio:,76.6%
