0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
Payment Date,,1.00%,,1.50%,,1.75%,,2.00%,,2.50%
"September 15, 2028",,65%,,0%,,0%,,0%,,0%
"October 15, 2028",,56%,,0%,,0%,,0%,,0%
"November 15, 2028",,47%,,0%,,0%,,0%,,0%
"December 15, 2028",,37%,,0%,,0%,,0%,,0%
"January 15, 2029",,28%,,0%,,0%,,0%,,0%
"February 15, 2029",,19%,,0%,,0%,,0%,,0%
"March 15, 2029",,11%,,0%,,0%,,0%,,0%
"April 15, 2029",,0%,,0%,,0%,,0%,,0%
,,,,,,,,,,
Weighted Average Life (Years) to Call,,4.56,,3.82,,3.44,,3.10,,2.56
Weighted Average Life (Years) to Maturity,,4.56,,3.82,,3.44,,3.10,,2.56
