0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,LMF,LMF,LMF,,Single Asset/Portfolio:,Single Asset
,,,,,,Location:,"New York, NY 10003"
Original Balance:,Original Balance:,"$36,000,000","$36,000,000","$36,000,000",,General Property Type:,Retail
Cut-off Date Balance:,Cut-off Date Balance:,"$36,000,000","$36,000,000","$36,000,000",,Detailed Property Type:,Anchored
% of Initial Pool Balance:,% of Initial Pool Balance:,6.6%,6.6%,6.6%,,Title Vesting:,Leasehold(2)
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,2004/NAP
Borrower Sponsor:,Borrower Sponsor:,"The Related Companies, L.P.","The Related Companies, L.P.","The Related Companies, L.P.",,Size:,"27,742 SF"
Guarantor:,Guarantor:,"The Related Companies, L.P.","The Related Companies, L.P.","The Related Companies, L.P.",,Cut-off Date Balance PSF:,"$1,298"
Mortgage Rate:,Mortgage Rate:,5.6800%,5.6800%,5.6800%,,Maturity Date Balance PSF:,"$1,298"
Note Date:,Note Date:,5/5/2026,5/5/2026,5/5/2026,,Property Manager:,"Related Management Company, L.P. (borrower-related)"
Maturity Date:,Maturity Date:,5/6/2031,5/6/2031,5/6/2031,,Underwriting and Financial Information,Underwriting and Financial Information
Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,UW NOI:,"$2,503,852"
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NCF,"$2,482,651"
IO Period:,IO Period:,60 months,60 months,60 months,,UW NOI Debt Yield:,7.0%
Seasoning:,Seasoning:,1 month,1 month,1 month,,UW NCF Debt Yield:,6.9%
Prepayment Provisions:,Prepayment Provisions:,"L(25),D(28),O(7)","L(25),D(28),O(7)","L(25),D(28),O(7)",,UW NOI Debt Yield at Maturity:,7.0%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,UW NCF DSCR:,1.20x
Additional Debt Type:,Additional Debt Type:,NAP,NAP,NAP,,Most Recent NOI:,"$2,811,838 (2/28/2026 TTM)"
Additional Debt Balance:,Additional Debt Balance:,NAP,NAP,NAP,,2nd Most Recent NOI:,"$2,918,446 (12/31/2025)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,3rd Most Recent NOI:,"$2,919,852 (12/31/2024)"
Reserves(1),Reserves(1),Reserves(1),Reserves(1),Reserves(1),,Most Recent Occupancy(3):,100.0% (4/2/2026)
Type,Initial,Initial,Monthly,Cap,,2nd Most Recent Occupancy:,96.0% (12/31/2025)
RE Taxes:,$0,$0,Springing,NAP,,3rd Most Recent Occupancy:,100.0% (12/31/2024)
Insurance:,$0,$0,Springing,NAP,,Appraised Value (as of):,"$48,100,000 (4/3/2026)"
Replacement Reserve:,$0,$0,Springing,NAP,,Appraised Value PSF:,"$1,734"
,,,,,,Cut-off Date LTV Ratio:,74.8%
,,,,,,Maturity Date LTV Ratio:,74.8%
,,,,,,,
