0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,CREFI,CREFI,CREFI,,Single Asset/Portfolio:,Portfolio
,,,,,,Location:,"Brooklyn, NY Various"
Original Balance:,Original Balance:,"$17,500,000","$17,500,000","$17,500,000",,General Property Type:,Multifamily
Cut-off Date Balance:,Cut-off Date Balance:,"$17,500,000","$17,500,000","$17,500,000",,Detailed Property Type:,Mid Rise
% of Initial Pool Balance:,% of Initial Pool Balance:,3.2%,3.2%,3.2%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated(1):,Various/NAP
Borrower Sponsors:,Borrower Sponsors:,Jacob Isaac Hirsch and Sam Wieder,Jacob Isaac Hirsch and Sam Wieder,Jacob Isaac Hirsch and Sam Wieder,,Size:,42 Units
Guarantors:,Guarantors:,Jacob Isaac Hirsch and Sam Wieder,Jacob Isaac Hirsch and Sam Wieder,Jacob Isaac Hirsch and Sam Wieder,,Cut-off Date Balance per Unit:,"$416,667"
Mortgage Rate:,Mortgage Rate:,6.2600%,6.2600%,6.2600%,,Maturity Date Balance per Unit:,"$416,667"
Note Date:,Note Date:,5/29/2026,5/29/2026,5/29/2026,,Property Manager:,JIH Property Group LLC  (borrower-related)
Maturity Date:,Maturity Date:,6/6/2031,6/6/2031,6/6/2031,,Underwriting  and Financial Information,Underwriting  and Financial Information
Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,UW NOI:,"$1,565,031"
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NCF:,"$1,554,531"
IO Period:,IO Period:,60 months,60 months,60 months,,UW NOI Debt Yield:,8.9%
Seasoning:,Seasoning:,0 months,0 months,0 months,,UW NCF Debt Yield:,8.9%
Prepayment Provisions:,Prepayment Provisions:,"L(24),D(29),O(7)","L(24),D(29),O(7)","L(24),D(29),O(7)",,UW NOI Debt Yield at Maturity:,8.9%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Springing/Springing,Springing/Springing,Springing/Springing,,UW NCF DSCR:,1.40x
Additional Debt Type:,Additional Debt Type:,NAP,NAP,NAP,,Most Recent NOI:,"$1,601,319 (2/28/2026 TTM)"
Additional Debt Balance:,Additional Debt Balance:,NAP,NAP,NAP,,2nd Most Recent NOI:,"$1,600,606 (12/31/2025)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,3rd Most Recent NOI:,"$1,569,268 (12/31/2024)"
,,,,,,Most Recent Occupancy:,100.0% (5/25/2026)
Reserves,Reserves,Reserves,Reserves,Reserves,,2nd Most Recent Occupancy:,100.0% (12/31/2025)
Type,Initial,Initial,Monthly,Cap,,3rd Most Recent Occupancy:,100.0% (12/31/2024)
RE Taxes:,"$3,952","$3,952",$565,NAP,,Appraised Value (as of):,"$26,100,000 (3/10/2026)"
Insurance:,"$25,651","$25,651","$4,275",NAP,,Appraised Value per Unit:,"$621,429"
Replacement Reserve:,$0,$0,$875,NAP,,Cut-off Date LTV Ratio:,67.0%
Deferred Maintenance:,"$10,088","$10,088",$0,NAP,,Maturity Date LTV Ratio:,67.0%
,,,,,,,
,,,,,,,
