0,1,2
Hyundai Auto Receivables Trust 2026-A  Issuing  entity,Hyundai Auto Receivables Trust 2026-A  Issuing  entity,
"If the aggregate initial principal amount of the notes is $1,595,110,000, the following notes will be issued:","If the aggregate initial principal amount of the notes is $1,595,110,000, the following notes will be issued:",
Class A-1  Notes,"$319,060,000",
Class A-2-A  Notes,$●,
Class A-2-B  Notes,$●,
Class A-3  Notes,"$561,260,000",
Class A-4  Notes,"$75,010,000",
Class B  Notes,"$29,440,000",
Class C  Notes,"$49,080,000",
,,
"If the aggregate initial principal amount of the notes is $1,894,110,000, the following notes will be issued:","If the aggregate initial principal amount of the notes is $1,894,110,000, the following notes will be issued:",
,,
Class  A-1 Notes,"$378,860,000",
Class  A-2-A Notes,$●,
Class  A-2-B Notes,$●,
Class  A-3 Notes,"$666,470,000",
Class  A-4 Notes,"$89,070,000",
Class  B Notes,"$34,960,000",
Class  C Notes,"$58,280,000",
,,
"If the aggregate initial principal amount of the notes is $2,199,700,000, the following notes will be issued:","If the aggregate initial principal amount of the notes is $2,199,700,000, the following notes will be issued:",
,,
Class  A-1 Notes,"$439,980,000",
Class  A-2-A Notes,$●,
Class  A-2-B Notes,$●,
Class  A-3 Notes,"$773,990,000",
Class  A-4 Notes,"$103,440,000",
Class  B Notes,"$40,610,000",
Class  C Notes,"$67,690,000",
