0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,,,,,,,,,,,,,,,,,,,,,,,
Payment Date,,0.25%,0.25%,,,0.50%,0.50%,,,1.00%,1.00%,,,1.50%,1.50%,,,2.00%,2.00%,,,3.00%,3.00%,
"May 15, 2029",,,100.00,%,,,100.00,%,,,100.00,%,,,73.92,%,,,0.00,%,,,0.00,%
"June 15, 2029",,,100.00,%,,,100.00,%,,,100.00,%,,,59.16,%,,,0.00,%,,,0.00,%
"July 15, 2029",,,100.00,%,,,100.00,%,,,100.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"August 15, 2029",,,100.00,%,,,100.00,%,,,100.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"September 15, 2029",,,100.00,%,,,100.00,%,,,100.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"October 15, 2029",,,100.00,%,,,100.00,%,,,100.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"November 15, 2029",,,100.00,%,,,100.00,%,,,100.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"December 15, 2029",,,100.00,%,,,100.00,%,,,100.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"January 15, 2030",,,100.00,%,,,100.00,%,,,92.88,%,,,0.00,%,,,0.00,%,,,0.00,%
"February 15, 2030",,,100.00,%,,,100.00,%,,,77.78,%,,,0.00,%,,,0.00,%,,,0.00,%
"March 15, 2030",,,100.00,%,,,100.00,%,,,63.14,%,,,0.00,%,,,0.00,%,,,0.00,%
"April 15, 2030",,,100.00,%,,,100.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"May 15, 2030",,,100.00,%,,,100.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"June 15, 2030",,,100.00,%,,,86.55,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"July 15, 2030",,,90.51,%,,,63.67,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"August 15, 2030",,,62.37,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"September 15, 2030",,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Average Life (Years) to Call,,,5.61,,,,5.52,,,,5.18,,,,4.42,,,,3.52,,,,2.38,
Weighted Average Life (Years) to Maturity,,,5.64,,,,5.56,,,,5.25,,,,4.48,,,,3.55,,,,2.42,
