0,1,2,3,4,5,6,7
Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary
Property Name,Location,SF / Parking Stalls,Occupancy(1),Allocated Cut-off Date Loan Amount (“ALA”)(2),% of ALA,Appraised Value,UW NCF
45 - 75 Sidney,"Cambridge, MA","277,174 / 582",100.0%,"$281,747,000",21.3%,"$501,300,000","$30,954,999"
40 Landsdowne,"Cambridge, MA","214,638 / NAP",100.0%,"$238,402,000",18.0%,"$378,100,000","$21,799,950"
35 Landsdowne,"Cambridge, MA","202,423 / NAP",100.0%,"$221,982,000",16.8%,"$356,900,000","$20,576,945"
65 Landsdowne,"Cambridge, MA","122,410 / 1,120",100.0%,"$154,712,000",11.7%,"$358,400,000","$23,066,881"
88 Sidney,"Cambridge, MA","146,034 / NAP",100.0%,"$134,655,000",10.2%,"$224,900,000","$14,617,830"
64 Sidney,"Cambridge, MA","126,371 / NAP",99.6%,"$107,341,000",8.1%,"$183,700,000","$12,980,953"
38 Sidney,"Cambridge, MA","122,554 / NAP",56.4%,"$103,782,000",7.8%,"$170,600,000","$5,828,593"
26 Landsdowne,"Cambridge, MA","102,877 / NAP",100.0%,"$82,379,000",6.2%,"$156,400,000","$9,455,426"
Total / Wtd. Avg.,,"1,314,481 / 1,702",95.9%,"$1,325,000,000",100.0%,"$2,400,000,000(3)","$139,281,577"
