0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,Class  A-1,Class  A-1,Class  A-1,Class  A-1,Class  A-1,Class  A-1,Class  A-1,Class  A-1,Class  A-1,Class  A-1,Class  A-1,Class  A-1,,,Class  A-2a and A-2b,Class  A-2a and A-2b,Class  A-2a and A-2b,Class  A-2a and A-2b,Class  A-2a and A-2b,Class  A-2a and A-2b,Class  A-2a and A-2b,Class  A-2a and A-2b,Class  A-2a and A-2b,Class  A-2a and A-2b,Class  A-2a and A-2b,Class  A-2a and A-2b
Payment  Date,0.00%,0.00%,0.50%,0.50%,1.00%,1.00%,1.30%,1.30%,1.70%,1.70%,2.00%,2.00%,,,0.00%,0.00%,0.50%,0.50%,1.00%,1.00%,1.30%,1.30%,1.70%,1.70%,2.00%,2.00%
Closing Date,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,100.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
"July 15, 2026",91.41,89.01,89.01,86.25,86.25,84.38,84.38,81.51,81.51,78.99,78.99,,,100.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
"August 15, 2026",83.22,78.51,78.51,73.10,73.10,69.41,69.41,63.79,63.79,58.86,58.86,,,100.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
"September 15, 2026",75.00,68.06,68.06,60.10,60.10,54.68,54.68,46.41,46.41,39.15,39.15,,,100.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
"October 15, 2026",66.72,57.64,57.64,47.24,47.24,40.16,40.16,29.35,29.35,19.87,19.87,,,100.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
"November 15, 2026",58.42,47.30,47.30,34.56,34.56,25.88,25.88,12.65,12.65,1.04,1.04,,,100.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
"December 15, 2026",50.07,36.99,36.99,22.02,22.02,11.82,11.82,0.00,0.00,0.00,0.00,,,100.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.46,97.46,88.17,88.17,
"January 15, 2027",41.70,26.76,26.76,9.66,9.66,0.00,0.00,0.00,0.00,0.00,0.00,,,100.0,100.00,100.00,100.00,100.00,100.00,98.64,98.64,86.54,86.54,75.94,75.94,
"February 15, 2027",33.30,16.58,16.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,100.0,100.00,100.00,100.00,98.26,98.26,89.38,89.38,75.86,75.86,64.01,64.01,
"March 15, 2027",24.81,6.41,6.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,100.0,100.00,100.00,100.00,90.03,90.03,80.26,80.26,65.39,65.39,52.37,52.37,
"April 15, 2027",16.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,100.0,100.00,97.51,97.51,81.93,81.93,71.32,71.32,55.18,55.18,41.05,41.05,
"May 15, 2027",7.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,100.0,100.00,90.67,90.67,73.93,73.93,62.54,62.54,45.21,45.21,30.05,30.05,
"June 15, 2027",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,99.57,99.57,83.97,83.97,66.15,66.15,54.04,54.04,35.63,35.63,19.52,19.52,
"July 15, 2027",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,94.13,94.13,77.64,77.64,58.81,58.81,46.02,46.02,26.58,26.58,9.58,9.58,
"August 15, 2027",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,88.66,88.66,71.34,71.34,51.57,51.57,38.15,38.15,17.76,17.76,0.00,0.00,
"September 15, 2027",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,83.15,83.15,65.07,65.07,44.44,44.44,30.44,30.44,9.19,9.19,0.00,0.00,
"October 15, 2027",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,77.61,77.61,58.83,58.83,37.42,37.42,22.89,22.89,0.85,0.85,0.00,0.00,
"November 15, 2027",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,72.04,72.04,52.62,52.62,30.50,30.50,15.50,15.50,0.00,0.00,0.00,0.00,
"December 15, 2027",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,66.43,66.43,46.44,46.44,23.69,23.69,8.27,8.27,0.00,0.00,0.00,0.00,
"January 15, 2028",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,60.79,60.79,40.29,40.29,16.99,16.99,1.21,1.21,0.00,0.00,0.00,0.00,
"February 15, 2028",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,55.42,55.42,34.46,34.46,10.64,10.64,0.00,0.00,0.00,0.00,0.00,0.00,
"March 15, 2028",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,50.01,50.01,28.65,28.65,4.38,4.38,0.00,0.00,0.00,0.00,0.00,0.00,
"April 15, 2028",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,44.62,44.62,22.90,22.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"May 15, 2028",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,39.19,39.19,17.19,17.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"June 15, 2028",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,33.72,33.72,11.51,11.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"July 15, 2028",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,28.23,28.23,5.86,5.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"August 15, 2028",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,22.7,22.70,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
