0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2023-1,AART 2023-1,,,AART 2024-1,AART 2024-1,
Weighted Average APR,,,8.68,%,,,9.62,%
Aggregate Amount Financed,,$,1121998940.08,,,$,1121999935.31,
Number of Contracts in Pool,,,50424,,,,59162,
Average Amount Financed,,$,22251.29,,,$,18964.88,
Weighted Average Original Maturity (in Months),,,69.39,,,,70.97,
Weighted Average Remaining Maturity (in Months),,,59.78,,,,53.76,
Percentage of Receivables with Original Maturities > 60 Months,,,78.55,%,,,82.05,%
Percentage of New Vehicles,,,41.58,%,,,40.00,%
Percentage of Non-Subvented Receivables,,,98.32,%,,,99.88,%
Weighted Average FICO Score,,,730.00,,,,734.63,
Weighted Average Loan-to-Value,,,95.54,,,,95.81,
Cutoff Date,,,"June 1, 2023",,,,"February 1, 2024",
