0,1,2,3,4,5,6
Payment Date,0%,50%,75%,100%,150%,200%
Closing Date,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
March 2024,73.92%,71.64%,70.49%,69.31%,66.92%,64.47%
April 2024,61.56%,58.02%,56.21%,54.38%,50.64%,46.80%
May 2024,49.07%,44.18%,41.68%,39.15%,33.97%,28.64%
June 2024,37.04%,30.68%,27.42%,24.11%,17.35%,10.37%
July 2024,23.23%,15.40%,11.39%,7.31%,0.00%,0.00%
August 2024,9.61%,0.25%,0.00%,0.00%,0.00%,0.00%
September 2024,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,
Weighted Average Life to Maturity (years)(2),0.33,0.30,0.29,0.28,0.25,0.24
Weighted Average Life to Call (years)(2)(3),0.33,0.30,0.29,0.28,0.25,0.24
