0,1,2,3,4,5,6,7
Payment Date,0%,50%,50%,75%,100%,150%,200%
Closing Date,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
November 2024,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
December 2024,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
January 2025,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
February 2025,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
March 2025,100.00%,100.00%,100.00%,100.00%,100.00%,99.88%,96.30%
April 2025,100.00%,100.00%,100.00%,98.15%,96.13%,91.99%,87.70%
May 2025,98.29%,93.79%,93.79%,91.47%,89.11%,84.25%,79.20%
June 2025,92.48%,87.34%,87.34%,84.70%,82.00%,76.43%,70.62%
July 2025,87.09%,81.32%,81.32%,78.34%,75.30%,69.03%,62.46%
August 2025,81.70%,75.31%,75.31%,72.01%,68.63%,61.65%,54.33%
September 2025,76.66%,69.65%,69.65%,66.02%,62.31%,54.62%,46.54%
October 2025,71.12%,63.51%,63.51%,59.58%,55.54%,47.17%,38.35%
November 2025,64.67%,56.51%,56.51%,52.28%,47.95%,38.93%,29.41%
December 2025,58.47%,49.78%,49.78%,45.26%,40.63%,30.98%,20.76%
January 2026,50.43%,41.29%,41.29%,36.54%,31.65%,21.46%,10.65%
February 2026,43.61%,34.01%,34.01%,29.01%,23.86%,13.11%,1.67%
March 2026,36.94%,26.89%,26.89%,21.65%,16.26%,4.96%,0.00%
April 2026,28.62%,18.23%,18.23%,12.81%,7.22%,0.00%,0.00%
May 2026,22.31%,11.53%,11.53%,5.89%,0.07%,0.00%,0.00%
June 2026,15.23%,4.12%,4.12%,0.00%,0.00%,0.00%,0.00%
July 2026,8.81%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
August 2026,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,
Weighted Average Life to Maturity (years)(2),1.33,1.23,1.23,1.18,1.13,1.05,0.97
Weighted Average Life to Call (years)(2)(3),1.33,1.23,1.23,1.18,1.13,1.05,0.97
