0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2024-2,AART 2024-2,,,AART 2025-1,AART 2025-1,
Weighted Average APR,,,9.89,%,,,9.52,%
Aggregate Amount Financed,,$,1114879158.52,,,$,1121998836.17,
Number of Contracts in Pool,,,61802,,,,58335,
Average Amount Financed,,$,18039.53,,,$,19233.72,
Weighted Average Original Maturity (in Months),,,71.03,,,,70.62,
Weighted Average Remaining Maturity (in Months),,,54.11,,,,53.50,
Percentage of Receivables with Original Maturities > 60 Months,,,79.46,%,,,79.88,%
Percentage of New Vehicles,,,40.34,%,,,40.03,%
Weighted Average FICO Score,,,734.76,,,,734.97,
Weighted Average Loan-to-Value,,,94.29,,,,94.61,
Cutoff Date,,,"August 1, 2024",,,,"September 1, 2025",
