0,1,2,3,4,5,6,7,8
,,,,,,,,
Class,,Initial Note Principal Amount(1)(2),Initial Note Principal Amount(1)(2),,,Interest Rate,,Final Scheduled Payment Date
Class A-1 Notes,,$,76700000,,,%,,"February 17, 2026"
Class A-2 Notes,,$,106380000,,,%,,"September 15, 2027"
Class A-3 Notes,,$,70920000,,,%,,"August 15, 2028"
Class B Notes,,$,57150000,,,%,,"March 15, 2029"
Class C Notes,,$,77790000,,,%,,"December 17, 2029"
Class D Notes,,$,114300000,,,%,,"November 15, 2030"
