0,1,2,3,4,5,6,7,8,9,10
,,Principal  Amount of  Class A-1 Notes,,Principal  Amount of  Class A-2a Notes(1),,Principal  Amount of  Class A-2b Notes(1),,Principal  Amount of  Class A-3 Notes,,Principal  Amount of  Class A-4 Notes
MUFG Securities Americas Inc.,,$__________,,$__________,,$__________,,$__________,,$__________
Barclays Capital Inc.,,$__________,,$__________,,$__________,,$__________,,$__________
BMO Capital Markets Corp.,,$__________,,$__________,,$__________,,$__________,,$__________
Lloyds Securities Inc.,,$__________,,$__________,,$__________,,$__________,,$__________
TD Securities (USA) LLC,,$__________,,$__________,,$__________,,$__________,,$__________
"AmeriVet Securities, Inc.",,$__________,,$__________,,$__________,,$__________,,$__________
"Fifth Third Securities, Inc.",,$__________,,$__________,,$__________,,$__________,,$__________
Total,,"$285,950,000(3)",,$_____(2),,$_____(2),,"$428,450,000(3)",,"$61,275,000(3)"
