0,1,2,3,4,5,6,7,8,9,10
Notes,,Initial Note  Balance,,Interest Rate,,Accrual  Method,,Anticipated  Redemption Date,,Final  Maturity Date
Class A notes,,"$356,400,000",,4.16%,,30/360,,"August 20, 2030",,"August 22, 2033"
Class B notes,,"$27,250,000",,4.41%,,30/360,,"August 20, 2030",,"August 22, 2033"
Class C notes,,"$16,350,000",,4.60%,,30/360,,"August 20, 2030",,"August 22, 2033"
Total,,"$400,000,000",,,,,,,,
