0,1,2,3,4,5,6,7,8,9
Portfolio Summary(1),Portfolio Summary(1),Portfolio Summary(1),Portfolio Summary(1),Portfolio Summary(1),Portfolio Summary(1),Portfolio Summary(1),Portfolio Summary(1),Portfolio Summary(1),Portfolio Summary(1)
Property Name,Location,Year Built / Renovated,Property Subtype,SF,Allocated Cut-off Date Mortgage Loan Amount (“ALA”),% of ALA,"""As-Is"" Appraised Value(1)",UW NOI,% of UW NOI
Joplin Property,"Joplin, MO","1993, 1998, 2007 / 2018",Warehouse / Distribution,567000,"$25,164,000",48.2%,"$34,700,000","$2,233,444",48.3%
Massillon Property,"Massillon, OH",1995 / 2015,Manufacturing,243000,"$12,601,000",24.2%,"$18,000,000","$1,111,182",24.0%
Watertown Property,"Watertown, SD","2004, 2011, 2018 / 2020",Manufacturing,183345,"$8,569,000",16.4%,"$11,820,000","$769,263",16.6%
Louisville Property,"Louisville, KY",1994 / NAP,Warehouse,135052,"$5,832,000",11.2%,"$8,300,000","$512,001",11.1%
Total / Wtd. Avg.,,,,1128397,"$52,166,000",100.0%,"$72,820,000","$4,625,889",100.0%
