0,1,2,3,4,5,6,7
Comparable Large Retail Leases(1),Comparable Large Retail Leases(1),Comparable Large Retail Leases(1),Comparable Large Retail Leases(1),Comparable Large Retail Leases(1),Comparable Large Retail Leases(1),Comparable Large Retail Leases(1),Comparable Large Retail Leases(1)
Property Name/Location,Year Built/ Renovated,Total GLA (SF),Major Tenant,Tenant Size (SF),Lease Start Date,Lease Term (years),Annual Base Rent PSF
"Hampton Towne Centre(2)  Hampton, VA",1998/NAP,162750,US Foods,29839,Jun-24,10.5,$16.00
"11238 Ocean Gateway  Berlin, MD",2026/NAP,121790,Giant Food,65000,Sep-25,20.0,$17.00
"2701 North Mall Drive  Virginia Beach, VA",1988/NAV,107465,Academy Sports & Outdoors,65297,Oct-24,15.0,$16.92
"7547 King Road  Fayetteville, NC",NAV,NAV,Confidential - Major Grocery Operator,48387,Jul-24,20.0,$16.50
"1524 Holland Road  Suffolk, VA",1999/NAV,43548,Food Lion,33000,May-24,5.0,$10.75
"4020 Victory Boulevard  Portsmouth, VA",2002/NAV,73004,Five Below,12000,Apr-24,10.0,$19.50
"2513 Victory Boulevard  Portsmouth, VA",1960/NAV,26000,Culture Lounge,12500,Feb-24,5.0,$11.00
"10601 Spotsylvania Avenue  Fredericksburg, VA",NAV,NAV,Weis Markets,33000,Dec-23,2.0,$18.50
"3101 Plank Road  Fredericksburg, VA",NAV,NAV,Crunch Fitness,31428,Dec-23,10.0,$14.00
"2301 Ellis Road  Durham, NC",NAV,NAV,Publix,46791,Nov-22,20.0,$15.50
"70 Ballentrae Court  Pittsboro, NC",NAV,NAV,Food Lion,35929,Sep-22,20.0,$18.50
"152-156 Stratford Common Court  Winston-Salem, NC",NAV,NAV,US Foods,23500,Mar-22,10.0,$12.00
