0,1,2,3,4,5,6,7,8
Underwriters,,Class A-1a Notes,,Class A-1b Notes,,Class B Notes,,Class C Notes
"RBC Capital Markets, LLC",,$,,$,,$,,$
Morgan Stanley & Co. LLC,,$,,$,,$,,$
Santander US Capital Markets LLC,,$,,$,,$,,$
TD Securities (USA) LLC,,$,,$,,$,,$
Total,,$ (1)(2),,$ (1)(2),,$ (1),,$ (1)
