0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,WOART 2021-A,WOART 2021-A,WOART 2021-A,WOART 2021-A,WOART 2021-A,WOART 2021-A,,,WOART 2021-B,WOART 2021-B,WOART 2021-B,WOART 2021-B,WOART 2021-B,WOART 2021-B,,,WOART 2021-C,WOART 2021-C,WOART 2021-C,WOART 2021-C,WOART 2021-C,WOART 2021-C,
,,Starting  Principal  Balance ($),Starting  Principal  Balance ($),,,% of  Starting Principal  Balance,% of  Starting Principal  Balance,,,Starting  Principal  Balance ($),Starting  Principal  Balance ($),,,% of  Starting Principal  Balance,% of  Starting Principal  Balance,,,Starting  Principal  Balance ($),Starting  Principal  Balance ($),,,% of  Starting Principal  Balance,% of  Starting Principal  Balance,
Florida,,,546452352.40,,,,47.2,%,,,532534713.57,,,,48.3,%,,,590360107.40,,,,49.1,%
Georgia,,,213976613.86,,,,18.5,%,,,200802578.80,,,,18.2,%,,,218878016.62,,,,18.2,%
North Carolina,,,183651677.94,,,,15.9,%,,,174289191.51,,,,15.8,%,,,181587628.74,,,,15.1,%
Alabama,,,100695854.54,,,,8.7,%,,,99607826.99,,,,9.0,%,,,105992224.61,,,,8.8,%
South Carolina,,,84904223.20,,,,7.3,%,,,73786774.62,,,,6.7,%,,,78632807.44,,,,6.5,%
All Others,,,27840443.01,,,,2.4,%,,,21898677.70,,,,2.0,%,,,27447967.48,,,,2.3,%
Total,,,1157521164.95,,,,100.0,%,,,1102919763.19,,,,100.0,%,,,1202898752.29,,,,100.0,%
