0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,,,,,,,,,
,,DRIVE 2024-1,,DRIVE 2021-3,,DRIVE 2021-2,,DRIVE 2021-1,,DRIVE 2020-2,,DRIVE 2020-1,,DRIVE 2019-4,,DRIVE 2019-3,,DRIVE 2019-2,,DRIVE 2019-1
Remaining Term (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1-6,,0.02%,,0.00%,,0.06%,,0.02%,,0.00%,,0.02%,,0.03%,,0.00%,,0.00%,,0.07%
7-12,,0.17%,,0.00%,,0.24%,,0.19%,,0.00%,,0.06%,,0.12%,,0.03%,,0.02%,,0.13%
13-18,,1.99%,,0.00%,,1.51%,,0.36%,,0.24%,,0.72%,,1.53%,,0.13%,,0.14%,,1.60%
19-24,,3.78%,,0.02%,,2.74%,,0.70%,,1.73%,,1.18%,,2.36%,,0.11%,,0.53%,,2.85%
25-30,,2.00%,,0.02%,,1.35%,,0.22%,,0.51%,,0.65%,,1.59%,,0.04%,,0.18%,,1.09%
31-36,,0.51%,,0.16%,,0.22%,,0.21%,,0.45%,,0.47%,,2.04%,,0.50%,,0.49%,,0.56%
37-42,,0.13%,,0.20%,,0.11%,,0.57%,,0.16%,,0.06%,,0.51%,,0.09%,,0.06%,,0.16%
43-48,,0.71%,,0.86%,,0.79%,,1.61%,,1.92%,,1.80%,,1.65%,,1.85%,,1.77%,,1.96%
49-54,,1.09%,,1.45%,,0.87%,,1.94%,,1.10%,,0.22%,,0.20%,,0.23%,,0.12%,,0.22%
55-60,,6.77%,,12.27%,,11.71%,,7.94%,,6.15%,,5.22%,,4.56%,,5.11%,,5.07%,,5.09%
61-66,,10.04%,,15.54%,,4.50%,,16.05%,,6.80%,,2.96%,,2.31%,,1.22%,,0.79%,,0.79%
67-72,,60.19%,,63.74%,,69.98%,,65.21%,,73.61%,,78.11%,,74.75%,,79.45%,,80.34%,,75.40%
73+,,12.60%,,5.72%,,5.91%,,4.97%,,7.32%,,8.54%,,8.35%,,11.24%,,10.50%,,10.08%
,,,,,,,,,,,,,,,,,,,,
Amount Financed (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"$0.01 - $5,000.00",,0.00%,,0.00%,,0.00%,,0.00%,,0.01%,,0.01%,,0.00%,,0.01%,,0.01%,,0.01%
"$5,000.01 - $10,000.00",,0.28%,,0.79%,,1.02%,,2.23%,,2.97%,,2.40%,,2.14%,,2.38%,,2.29%,,2.58%
"$10,000.01 - $15,000.00",,2.74%,,5.38%,,7.00%,,12.13%,,14.28%,,11.96%,,11.69%,,11.91%,,11.42%,,12.04%
"$15,000.01 - $20,000.00",,10.09%,,16.18%,,18.00%,,22.18%,,22.42%,,21.84%,,23.03%,,22.76%,,22.04%,,22.20%
"$20,000.01 - $25,000.00",,18.92%,,22.87%,,22.76%,,20.81%,,20.28%,,22.15%,,22.97%,,21.12%,,21.76%,,22.63%
"$25,000.01 - $30,000.00",,21.16%,,21.17%,,19.75%,,17.20%,,16.93%,,18.07%,,18.58%,,17.35%,,17.90%,,17.95%
"$30,000.01 - $35,000.00",,17.28%,,16.34%,,14.68%,,12.34%,,11.48%,,12.38%,,11.78%,,11.51%,,11.98%,,11.21%
"$35,000.01 - $40,000.00",,11.46%,,11.14%,,10.27%,,8.04%,,6.70%,,7.28%,,7.28%,,7.66%,,7.95%,,7.29%
"$40,000.01 - $45,000.00",,6.09%,,4.46%,,4.56%,,3.65%,,2.78%,,2.01%,,1.68%,,3.02%,,3.23%,,2.11%
"$45,000.01 - $50,000.00",,4.24%,,1.15%,,1.24%,,1.01%,,0.95%,,0.84%,,0.34%,,1.07%,,0.89%,,0.80%
"$50,000.01 and greater",,7.74%,,0.51%,,0.71%,,0.40%,,1.20%,,1.06%,,0.51%,,1.22%,,0.53%,,1.17%
,,,,,,,,,,,,,,,,,,,,
Current Principal Balance (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"$0.01 - $5,000.00",,0.38%,,0.04%,,0.72%,,0.30%,,0.14%,,0.26%,,0.61%,,0.07%,,0.06%,,0.53%
"$5,000.01 - $10,000.00",,2.93%,,1.11%,,3.38%,,3.16%,,4.11%,,3.45%,,4.65%,,2.70%,,2.54%,,4.95%
"$10,000.01 - $15,000.00",,5.19%,,6.41%,,8.31%,,13.30%,,15.45%,,12.70%,,13.48%,,12.38%,,11.83%,,13.42%
"$15,000.01 - $20,000.00",,10.79%,,17.05%,,17.74%,,22.64%,,22.89%,,21.76%,,22.28%,,22.90%,,22.12%,,21.81%
"$20,000.01 - $25,000.00",,18.27%,,23.15%,,21.85%,,20.56%,,19.98%,,21.76%,,21.70%,,21.08%,,21.66%,,21.46%
"$25,000.01 - $30,000.00",,19.91%,,21.10%,,18.57%,,16.71%,,16.23%,,17.71%,,17.36%,,17.24%,,17.71%,,16.97%
"$30,000.01 - $35,000.00",,15.81%,,15.74%,,14.02%,,11.65%,,10.83%,,12.00%,,11.17%,,11.33%,,11.80%,,10.56%
"$35,000.01 - $40,000.00",,10.15%,,10.39%,,9.57%,,7.46%,,6.23%,,6.88%,,6.72%,,7.35%,,7.85%,,6.79%
"$40,000.01 - $45,000.00",,5.55%,,3.67%,,4.08%,,3.04%,,2.34%,,1.87%,,1.39%,,2.83%,,3.09%,,1.85%
"$45,000.01 - $50,000.00",,3.97%,,0.98%,,1.13%,,0.86%,,0.80%,,0.73%,,0.24%,,0.97%,,0.84%,,0.66%
