0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2022-3,AART 2022-3,,,AART 2024-1,AART 2024-1,
Weighted Average APR,,,6.77,%,,,9.62,%
Aggregate Amount Financed,,$,1028968867.29,,,$,1121999935.31,
Number of Contracts in Pool,,,61982,,,,59162,
Average Amount Financed,,$,16601.09,,,$,18964.88,
Weighted Average Original Maturity (in Months),,,70.07,,,,70.97,
Weighted Average Remaining Maturity (in Months),,,50.40,,,,53.76,
Percentage of Receivables with Original Maturities > 60 Months,,,79.19,%,,,82.05,%
Percentage of New Vehicles,,,40.00,%,,,40.00,%
Percentage of Non-Subvented Receivables,,,98.62,%,,,99.88,%
Weighted Average FICO Score,,,729.00,,,,734.63,
Weighted Average Loan-to-Value,,,94.45,,,,95.81,
Cutoff Date,,,"November 1, 2022",,,,"February 1, 2024",
