0,1,2,3,4,5,6
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,WFB,WFB,,Single Asset/Portfolio:,Single Asset
,,,,,Location:,"Morgantown, WV 26501"
Original Balance:,Original Balance:,"$35,805,000","$35,805,000",,General Property Type:,Multifamily
Cut-off Date Balance:,Cut-off Date Balance:,"$35,805,000","$35,805,000",,Detailed Property Type:,Student Housing
% of Initial Pool Balance:,% of Initial Pool Balance:,6.1%,6.1%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Acquisition,Acquisition,,Year Built/Renovated:,2012/2020-2025
Borrower Sponsor:,Borrower Sponsor:,Fortress Investment Group LLC,Fortress Investment Group LLC,,Size:,912 Beds
Guarantor:,Guarantor:,Drawbridge Special Opportunities Fund LP,Drawbridge Special Opportunities Fund LP,,Cut-off Date Balance per Bed:,"$39,260"
Mortgage Rate:,Mortgage Rate:,6.0980%,6.0980%,,Maturity Date Balance per Bed:,"$39,260"
Note Date:,Note Date:,3/11/2026,3/11/2026,,Property Manager:,"GREP Atlantic, LLC"
Maturity Date:,Maturity Date:,3/11/2036,3/11/2036,,,
Original Term to Maturity:,Original Term to Maturity:,120 months,120 months,,Underwriting and Financial Information,Underwriting and Financial Information
Original Amortization Term:,Original Amortization Term:,0 months,0 months,,UW NOI:,"$4,387,384"
IO Period:,IO Period:,120 months,120 months,,UW NCF:,"$4,207,073"
Seasoning:,Seasoning:,1 month,1 month,,UW NOI Debt Yield:,12.3%
Prepayment Provisions:,Prepayment Provisions:,"L(25),D(88),O(7)","L(25),D(88),O(7)",,UW NCF Debt Yield:,11.7%
Lockbox/Cash Mgmt Status(1):,Lockbox/Cash Mgmt Status(1):,Springing/Springing,Springing/Springing,,UW NOI Debt Yield at Maturity:,12.3%
Additional Debt Type:,Additional Debt Type:,NAP,NAP,,UW NCF DSCR:,1.90x
Additional Debt Balance:,Additional Debt Balance:,NAP,NAP,,Most Recent NOI:,"$4,484,133 (12/31/2025 T-3 Ann.)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),,2nd Most Recent NOI:,"$4,158,357 (12/31/2025)"
Reserves(2),Reserves(2),Reserves(2),Reserves(2),,3rd Most Recent NOI:,"$4,094,216 (12/31/2024)"
Type,Initial,Monthly,Cap,,Most Recent Occupancy:,93.3% (3/1/2026)
RE Taxes:,"$41,072","$41,072",NAP,,2nd Most Recent Occupancy:,93.2% (10/1/2025)
Insurance:,$0,Springing,NAP,,3rd Most Recent Occupancy:,88.7% (10/1/2024)
Replacement Reserve:,"$1,862,684",$0,NAP,,Appraised Value (as of):,"$65,200,000 (1/29/2026)"
Supplemental Trust Reserve:,"$300,000",$0,NAP,,Appraised Value per Bed:,"$71,491"
Radon Mitigation Reserve:,"$50,150",$0,NAP,,Cut-off Date LTV Ratio:,54.9%
Deductible Gap Reserve:,"$50,000",Springing,NAP,,Maturity Date LTV Ratio:,54.9%
Pre-Paid Rent Reserve:,$0,Springing,NAP,,,
Master Tenant Overage Reserve:,$0,Springing,NAP,,,
,,,,,,
