0,1,2
Cash Flow Analysis,Cash Flow Analysis,Cash Flow Analysis
,UW(1)(2),UW PSF
Base Rent,"$9,782,360",$11.50
Contractual Rent Steps,$0,$0.00
Potential Income from Vacant Space,$0,$0.00
Gross Potential Rent,"$9,782,360",$11.50
Reimbursements,"$2,750,061",$3.23
Net Rentable Income,"$12,532,421",$14.73
(Vacancy / Credit Loss),"($438,635)",($0.52)
Effective Gross Income,"$12,093,786",$14.22
,,
Management Fee,"$362,814",$0.43
Real Estate Taxes,"$1,570,858",$1.85
Insurance,"$603,822",$0.71
Other Operating Expenses(3),"$127,503",$0.15
Total Operating Expenses,"$2,664,997",$3.13
,,
Net Operating Income,"$9,428,789",$11.08
Replacement Reserves,"$85,064",$0.10
TI/LC,"$425,320",$0.50
Net Cash Flow,"$8,918,405",$10.48
,,
Occupancy (%),96.5%(4),
NOI DSCR(5),1.35x,
NCF DSCR(5),1.28x,
NOI Debt Yield(5),9.2%,
NCF Debt Yield(5),8.7%,
