0,1,2,3,4,5,6,7,8,9,10
Notes(1),,Initial Note  Balance,,Interest Rate,,Accrual  Method,,Anticipated  Redemption Date,,Final  Maturity Date
Class A notes,,"$267,302,000",,___%,,30/360,,"October 21, 2030",,"October 20, 2033"
Class B notes,,"$20,436,000",,___%,,30/360,,"October 21, 2030",,"October 20, 2033"
Class C notes,,"$12,262,000",,___%,,30/360,,"October 21, 2030",,"October 20, 2033"
Total,,"$300,000,000",,,,,,,,
