0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes
Payment Date,,,0.00%,,0.50%,,1.00%,,1.30%,,1.50%,,1.80%
Closing Date,,,100.00,,100.00,,100.00,,100.00,,100.00,,100.00
"August 15, 2026",,,81.89,,77.18,,71.81,,68.17,,65.42,,59.82
"September 15, 2026",,,74.59,,67.66,,59.77,,54.42,,50.42,,43.22
"October 15, 2026",,,67.24,,58.18,,47.88,,40.91,,35.72,,26.97
"November 15, 2026",,,59.84,,48.74,,36.13,,27.62,,21.34,,11.04
"December 15, 2026",,,52.39,,39.33,,24.53,,14.57,,7.25,,0.00
"January 15, 2027",,,44.89,,29.97,,13.08,,1.74,,0.00,,0.00
"February 15, 2027",,,37.33,,20.65,,1.78,,0.00,,0.00,,0.00
"March 15, 2027",,,29.73,,11.36,,0.00,,0.00,,0.00,,0.00
"April 15, 2027",,,22.33,,2.37,,0.00,,0.00,,0.00,,0.00
"May 15, 2027",,,14.88,,0.00,,0.00,,0.00,,0.00,,0.00
"June 15, 2027",,,7.39,,0.00,,0.00,,0.00,,0.00,,0.00
"July 15, 2027",,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
,,,,,,,,,,,,,
Weighted Average Life to Call (Years)(2),,,0.48,,0.36,,0.28,,0.24,,0.22,,0.18
Weighted Average Life to Maturity (Years)(2),,,0.48,,0.36,,0.28,,0.24,,0.22,,0.18
