0,1,2
Hyundai  Auto Receivables  Trust 2024-B,Hyundai  Auto Receivables  Trust 2024-B,
"If the aggregate initial  principal amount of the notes is $1,300,000,000, the following notes will be issued:","If the aggregate initial  principal amount of the notes is $1,300,000,000, the following notes will be issued:",
Class A-1  Notes,"$231,600,000",
Class A-2-A  Notes,$●,
Class A-2-B  Notes,$●,
Class A-3  Notes,"$455,250,000",
Class A-4  Notes,"$60,710,000",
Class B  Notes,"$24,000,000",
Class C  Notes,"$40,000,000",
,,
"If the aggregate initial principal amount of the notes  is $1,756,400,000, the following notes will be issued:","If the aggregate initial principal amount of the notes  is $1,756,400,000, the following notes will be issued:",
,,
Class A-1 Notes,"$313,000,000",
Class A-2-A Notes,$●,
Class A-2-B Notes,$●,
Class A-3 Notes,"$615,000,000",
Class A-4 Notes,"$81,930,000",
Class B Notes,"$32,430,000",
Class C Notes,"$54,040,000",
,,
PROSPECTUS,PROSPECTUS,
Underwriters  Citigroup  RBC Capital  Markets  SOCIETE  GENERALE  SMBC Nikko  TD Securities  ●  ●  ●  ●,Underwriters  Citigroup  RBC Capital  Markets  SOCIETE  GENERALE  SMBC Nikko  TD Securities  ●  ●  ●  ●,
Underwriters  Citigroup  RBC Capital  Markets  SOCIETE  GENERALE  SMBC Nikko  TD Securities  ●  ●  ●  ●,Underwriters  Citigroup  RBC Capital  Markets  SOCIETE  GENERALE  SMBC Nikko  TD Securities  ●  ●  ●  ●,
Underwriters  Citigroup  RBC Capital  Markets  SOCIETE  GENERALE  SMBC Nikko  TD Securities  ●  ●  ●  ●,Underwriters  Citigroup  RBC Capital  Markets  SOCIETE  GENERALE  SMBC Nikko  TD Securities  ●  ●  ●  ●,
Underwriters  Citigroup  RBC Capital  Markets  SOCIETE  GENERALE  SMBC Nikko  TD Securities  ●  ●  ●  ●,Underwriters  Citigroup  RBC Capital  Markets  SOCIETE  GENERALE  SMBC Nikko  TD Securities  ●  ●  ●  ●,
Underwriters  Citigroup  RBC Capital  Markets  SOCIETE  GENERALE  SMBC Nikko  TD Securities  ●  ●  ●  ●,Underwriters  Citigroup  RBC Capital  Markets  SOCIETE  GENERALE  SMBC Nikko  TD Securities  ●  ●  ●  ●,
Underwriters  Citigroup  RBC Capital  Markets  SOCIETE  GENERALE  SMBC Nikko  TD Securities  ●  ●  ●  ●,Underwriters  Citigroup  RBC Capital  Markets  SOCIETE  GENERALE  SMBC Nikko  TD Securities  ●  ●  ●  ●,
Underwriters  Citigroup  RBC Capital  Markets  SOCIETE  GENERALE  SMBC Nikko  TD Securities  ●  ●  ●  ●,Underwriters  Citigroup  RBC Capital  Markets  SOCIETE  GENERALE  SMBC Nikko  TD Securities  ●  ●  ●  ●,
Underwriters  Citigroup  RBC Capital  Markets  SOCIETE  GENERALE  SMBC Nikko  TD Securities  ●  ●  ●  ●,Underwriters  Citigroup  RBC Capital  Markets  SOCIETE  GENERALE  SMBC Nikko  TD Securities  ●  ●  ●  ●,
