0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
AART 2019-1,AART 2019-1,AART 2019-1,AART 2019-1,,,AART 2024-1,AART 2024-1,AART 2024-1,AART 2024-1,
State,,Percentage of Aggregate Amount Financed,Percentage of Aggregate Amount Financed,,,State,,Percentage of Aggregate Amount Financed,Percentage of Aggregate Amount Financed,
Texas,,,12.87,%,,Texas,,,13.13,%
California,,,10.57,%,,Florida,,,9.05,%
Florida,,,8.89,%,,California,,,6.89,%
Pennsylvania,,,4.65,%,,Pennsylvania,,,5.16,%
Illinois,,,4.55,%,,North Carolina,,,4.69,%
Missouri,,,3.75,%,,New Jersey,,,4.22,%
