0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,WFB,WFB,WFB,,Single Asset/Portfolio:,Portfolio
Credit Assessment (Fitch/MDBRS/Moody’s)):,Credit Assessment (Fitch/MDBRS/Moody’s)):,NR/NR/NR,NR/NR/NR,NR/NR/NR,,Location:,"Various, Various"
Original Balance:,Original Balance:,"$24,295,200","$24,295,200","$24,295,200",,General Property Type:,Various
Cut-off Date Balance:,Cut-off Date Balance:,"$24,295,200","$24,295,200","$24,295,200",,Detailed Property Type:,Various
% of Initial Pool Balance:,% of Initial Pool Balance:,3.9%,3.9%,3.9%,,Title Vesting:,Fee/Leasehold
Loan Purpose:,Loan Purpose:,Acquisition,Acquisition,Acquisition,,Year Built/Renovated:,Various/Various
Borrower Sponsors:,Borrower Sponsors:,"David Fisher, Joshua Ungerecht and Warren Thomas","David Fisher, Joshua Ungerecht and Warren Thomas","David Fisher, Joshua Ungerecht and Warren Thomas",,Size:,"142,275 SF"
Guarantors:,Guarantors:,"David Fisher, Joshua Ungerecht and Warren Thomas","David Fisher, Joshua Ungerecht and Warren Thomas","David Fisher, Joshua Ungerecht and Warren Thomas",,Cut-off Date Balance PSF:,$171
Mortgage Rate:,Mortgage Rate:,6.228%,6.228%,6.228%,,Maturity Date Balance PSF:,$171
Note Date:,Note Date:,7/28/2025,7/28/2025,7/28/2025,,Property Manager:,"NLP Management, LLC"
Maturity Date:,Maturity Date:,8/11/2030,8/11/2030,8/11/2030,,,
Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,Underwriting and Financial Information,Underwriting and Financial Information
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NOI:,"$2,701,620"
IO Period:,IO Period:,60 months,60 months,60 months,,UW NCF:,"$2,642,752"
Seasoning:,Seasoning:,2 months,2 months,2 months,,UW NOI Debt Yield:,11.1%
Prepayment Provisions:,Prepayment Provisions:,"L(26),D(27),O(7)","L(26),D(27),O(7)","L(26),D(27),O(7)",,UW NCF Debt Yield:,10.9%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,UW NOI Debt Yield at Maturity:,11.1%
Additional Debt Type:,Additional Debt Type:,NAP,NAP,NAP,,UW NCF DSCR:,1.72x
Additional Debt Balance:,Additional Debt Balance:,NAP,NAP,NAP,,Most Recent NOI(5):,NAV
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NOI(5):,NAV
,,,,,,3rd Most Recent NOI(5):,NAV
Reserves,Reserves,Reserves,Reserves,Reserves,,Most Recent Occupancy:,100.0% (10/1/2025)
Type,Initial,Initial,Monthly,Cap,,2nd Most Recent Occupancy(5):,NAV
RE Taxes:,"$231,986","$231,986","$29,865(1)",NAP,,3rd Most Recent Occupancy(5):,NAV
Insurance:,$0,$0,Springing(2),NAP,,Appraised Value (as of)(6):,"$45,840,000 (Various)"
Replacement Reserve:,$0,$0,Springing(3),"$159,129",,Appraised Value PSF:,$322
TI/LC Reserve:,"$500,000","$500,000",Springing(4),NAP,,Cut-off Date LTV Ratio:,53.0%
Deferred Maintenance:,"$348,323","$348,323",$0,NAP,,Maturity Date LTV Ratio:,53.0%
,,,,,,,
,,,,,,,
