0,1,2,3,4,5,6,7,8,9,10,11,12
Months Since Origination,,,,,,,,,,,,
Months Since Origination,0.0,"$21,345,792,475",,"$31,943,779",,"$2,034,749",,"$531,802",,"$242,797",,0.01%
Months Since Origination,1.0,20910494879,,43005967,,1528333,,185747,,146835,,0.01%
Months Since Origination,2.0,20256444866,,123168907,,6365911,,461944,,310137,,0.04%
Months Since Origination,3.0,19605426190,,178071093,,28724165,,2991332,,661465,,0.17%
Months Since Origination,4.0,18956145211,,168886281,,56940222,,16365352,,2091954,,0.40%
Months Since Origination,5.0,18289123776,,165631123,,61756439,,33421568,,8863976,,0.57%
Months Since Origination,6.0,17604954154,,159146674,,63126254,,34309962,,17850630,,0.65%
Months Since Origination,7.0,16913533589,,151687301,,60997210,,35506419,,19725943,,0.69%
Months Since Origination,8.0,16221804563,,144950265,,57511700,,34287693,,19680031,,0.69%
Months Since Origination,9.0,15531611943,,137712013,,54553474,,32192399,,18904067,,0.68%
Months Since Origination,10.0,14845023782,,130785500,,50962281,,30693097,,17833241,,0.67%
Months Since Origination,11.0,14162526673,,121912080,,47715869,,28700437,,17772759,,0.67%
Months Since Origination,12.0,13477090755,,112506116,,44132780,,26474446,,17118910,,0.65%
Months Since Origination,13.0,12791794629,,108789005,,41115934,,24447117,,16087912,,0.64%
Months Since Origination,14.0,12115325714,,101597323,,39221820,,22711168,,15125974,,0.64%
Months Since Origination,15.0,11450658907,,95989403,,36760713,,21531109,,14326865,,0.63%
Months Since Origination,16.0,10789031315,,90036111,,35353739,,20162787,,13693197,,0.64%
Months Since Origination,17.0,10133063958,,83649211,,32075476,,18652651,,13148036,,0.63%
Months Since Origination,18.0,9484791654,,78637978,,29905327,,17657284,,12534327,,0.63%
Months Since Origination,19.0,8834200417,,73157932,,28347982,,16233218,,12228109,,0.64%
Months Since Origination,20.0,8188079755,,68557123,,26181371,,15361301,,11278555,,0.65%
Months Since Origination,21.0,7550954327,,63511157,,24476970,,14287417,,10413309,,0.65%
Months Since Origination,22.0,6923048144,,58591159,,23009436,,13596952,,9431639,,0.66%
Months Since Origination,23.0,6305167334,,53112912,,20876508,,12535684,,8826941,,0.67%
Months Since Origination,24.0,5690289574,,46889717,,18806301,,11253703,,7959106,,0.67%
Months Since Origination,25.0,5101109778,,42686146,,16811750,,10167736,,7209988,,0.67%
Months Since Origination,26.0,4542532535,,37615183,,15408390,,9188548,,6351097,,0.68%
Months Since Origination,27.0,3997197685,,33484380,,13759395,,8225300,,5542217,,0.69%
Months Since Origination,28.0,3469223518,,29728329,,12030114,,7315292,,4919547,,0.70%
Months Since Origination,29.0,2954842014,,25530723,,10871782,,6496924,,4373045,,0.74%
Months Since Origination,30.0,2455978190,,22140941,,9331084,,5811765,,3886183,,0.77%
Months Since Origination,31.0,1738340883,,16031515,,6940626,,4286742,,3150859,,0.83%
Months Since Origination,32.0,1218051726,,11862793,,5201693,,3260589,,2421814,,0.89%
Months Since Origination,33.0,781317578,,7954142,,3791474,,2399311,,1883723,,1.03%
Months Since Origination,34.0,440118615,,5058370,,2493396,,1622977,,1367389,,1.25%
Months Since Origination,35.0,205022103,,3079683,,1584841,,1124441,,1046375,,1.83%
Months Since Origination,36.0,44396231,,1608569,,963489,,697636,,769593,,5.48%
