0,1,2,3,4,5
Cash  Flow Analysis,Cash  Flow Analysis,Cash  Flow Analysis,Cash  Flow Analysis,Cash  Flow Analysis,Cash  Flow Analysis
,2024(1),2025(1),1/31/2026 TTM,UW,UW per Unit
Gross Potential Rent(2),"$4,596,612","$4,490,512","$4,498,793","$4,495,633","$249,757"
Reimbursements,"$54,176","$76,394","$79,326","$79,326","$4,407"
Other Income(3),"$374,933","$589,557","$575,550","$686,459","$38,137"
(Vacancy / Credit Loss)(4),"($2,437,265)","($1,163,355)","($1,119,040)","($790,443)","($43,914)"
Effective Gross Income,"$2,588,456","$3,993,108","$4,034,629","$4,470,975","$248,387"
,,,,,
Real Estate Taxes,"$624,652","$698,354","$687,017","$706,060","$39,226"
Insurance,"$28,706","$27,714","$27,790","$163,589","$9,088"
Other Expenses,"$2,159,174","$1,799,895","$1,751,795","$1,622,014","$90,112"
Total Expenses,"$2,812,532","$2,525,963","$2,466,602","$2,491,663","$138,426"
,,,,,
Net Operating Income,"($224,076)","$1,467,145","$1,568,027","$1,979,312","$109,962"
Capital Expenditures,$0,$0,$0,"$9,993",$555
TI/LC,$0,$0,$0,"$46,195","$2,566"
Net Cash Flow,"($224,076)","$1,467,145","$1,568,027","$1,923,123","$106,840"
,,,,,
Occupancy %(5),58.8%,81.2%,88.9%,83.7%,
NOI DSCR,-0.15x,0.99x,1.06x,1.34x,
NCF DSCR,-0.15x,0.99x,1.06x,1.30x,
NOI Debt Yield,-0.7%,4.7%,5.1%,6.4%,
NCF Debt Yield,-0.7%,4.7%,5.1%,6.2%,
