0,1,2,3,4,5
Class A-1 Notes,,,$,445700000.0,
Class A-2a Notes,},,$,644400000.0,
Class A-2b Notes,},,$,644400000.0,
Class A-3 Notes,,,$,644300000.0,
Class A-4 Notes,,,$,107710000.0,
Certificates,,,$,47233590.15,
Total,,,$,1889343590.15,
