0,1,2,3,4,5
,Initial Public Offering Price,,Underwriting Discounts and Commissions,,Net Proceeds(6)
Class A-1a notes,$,,%,,$
Class A-1b notes,$,,%,,$
Class B notes,$,,%,,$
Class C notes,$,,%,,$
Total,$,,,,$
