0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,JPMCB,JPMCB,JPMCB,,Single Asset/Portfolio:,Single Asset
Credit Assessment (Fitch/MDBRS/ Moody’s):,Credit Assessment (Fitch/MDBRS/ Moody’s):,NR/NR/NR,NR/NR/NR,NR/NR/NR,,Location:,"Milford, CT 06460"
Original Balance:,Original Balance:,"$16,000,000","$16,000,000","$16,000,000",,General Property Type:,Retail
Cut-off Date Balance:,Cut-off Date Balance:,"$16,000,000","$16,000,000","$16,000,000",,Detailed Property Type:,Anchored
% of Initial Pool Balance:,% of Initial Pool Balance:,2.6%,2.6%,2.6%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,2016/NAP
Borrower Sponsor:,Borrower Sponsor:,RJ Capital Holdings LLC,RJ Capital Holdings LLC,RJ Capital Holdings LLC,,Size:,"66,442 SF"
Guarantors:,Guarantors:,Rudolf Abramov and Iosif Abramov,Rudolf Abramov and Iosif Abramov,Rudolf Abramov and Iosif Abramov,,Cut-off Date Balance Per SF:,$241
Mortgage Rate:,Mortgage Rate:,6.7000%,6.7000%,6.7000%,,Maturity Date Balance Per SF:,$241
Note Date:,Note Date:,9/4/2025,9/4/2025,9/4/2025,,Property Manager:,Self-Managed
Maturity Date:,Maturity Date:,10/1/2030,10/1/2030,10/1/2030,,,
Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,Underwriting  and Financial Information,Underwriting  and Financial Information
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NOI:,"$1,709,136"
IO Period:,IO Period:,60 months,60 months,60 months,,UW NCF:,"$1,632,728"
Seasoning:,Seasoning:,0 months,0 months,0 months,,UW NOI Debt Yield:,10.7%
Prepayment Provisions:,Prepayment Provisions:,"L(24),YM1(30),O(6)","L(24),YM1(30),O(6)","L(24),YM1(30),O(6)",,UW NCF Debt Yield:,10.2%
Lockbox/Cash Mgmt Status(1):,Lockbox/Cash Mgmt Status(1):,Hard/Springing,Hard/Springing,Hard/Springing,,UW NOI Debt Yield at Maturity:,10.7%
Additional Debt Type:,Additional Debt Type:,NAP,NAP,NAP,,UW NCF DSCR:,1.50x
Additional Debt Balance:,Additional Debt Balance:,NAP,NAP,NAP,,Most Recent NOI:,"$1,624,786 (6/30/2025 TTM)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NOI:,"$1,570,568 (12/31/2024)"
,,,,,,3rd Most Recent NOI:,"$1,728,682 (12/31/2023)"
,,,,,,Most Recent Occupancy:,94.0% (9/1/2025)
Reserve,Reserve,Reserve,Reserve,Reserve,,2nd Most Recent Occupancy:,95.0% (12/31/2024)
Type,Initial,Initial,Monthly,Cap,,3rd Most Recent Occupancy:,100.0% (12/31/2023)
RE Taxes:,"$69,984","$69,984","$17,496",NAP,,Appraised Value (as of):,"$25,300,000 (6/3/2025)"
Insurance:,"$40,423","$40,423","$6,677",NAP,,Appraised Value Per SF:,$381
Replacement Reserve:,$831,$831,$831,NAP,,Cut-off Date LTV Ratio:,63.2%
TI/LC Reserve:,"$5,537","$5,537","$5,537",NAP,,Maturity Date LTV Ratio:,63.2%
,,,,,,,
,,,,,,,
