0,1,2,3,4,5,6,7,8,9,10
Notes,Initial Note Balance,,Interest Rate,,Accrual Method,,Anticipated Redemption Date,,Final  Maturity Date,
Class A notes,"$534,600,000",,4.71%,,30/360,,"January 20, 2028",,"January 21, 2031",
Class B notes,"$40,872,000",,4.94%,,30/360,,"January 20, 2028",,"January 21, 2031",
Class C notes,"$24,528,000",,5.09%,,30/360,,"January 20, 2028",,"January 21, 2031",
