0,1,2,3,4,5,6
Payment Date,0%,50%,75%,100%,150%,200%
Closing Date,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
July 2025,74.37%,71.89%,70.62%,69.33%,66.69%,63.97%
August 2025,61.90%,58.06%,56.08%,54.08%,49.97%,45.73%
September 2025,49.34%,44.06%,41.34%,38.58%,32.92%,27.04%
October 2025,36.21%,29.42%,25.93%,22.38%,15.06%,7.47%
November 2025,26.23%,17.78%,13.43%,9.00%,0.00%,0.00%
December 2025,16.16%,6.05%,0.84%,0.00%,0.00%,0.00%
January 2026,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,
Weighted Average Life to Maturity (years)(2),0.35,0.31,0.30,0.29,0.26,0.25
Weighted Average Life to Call (years)(2)(3),0.35,0.31,0.30,0.29,0.26,0.25
