0,1,2,3,4,5,6,7,8
Comparable Leases Summary,Comparable Leases Summary,Comparable Leases Summary,Comparable Leases Summary,Comparable Leases Summary,Comparable Leases Summary,Comparable Leases Summary,Comparable Leases Summary,Comparable Leases Summary
Property/Location,Year Built / Renovated,Size (SF),Tenant Name,Tenant Size (SF),Lease Date,Lease Term (Years),Rent PSF,Lease Type
"Vertex HQ Property (subject)(1)  Boston, MA",2013 / NAP,1134479,Vertex,1082417,Aug. 2024,19.9,$72.03,NNN
"Confidential  Boston, MA",1970 / 1996,192140,Confidential,88153,Jan. 2028,9.8,$115.00,NNN
"Confidential  Boston, MA",1970 / 1996,192140,Confidential,84324,Jul. 2028,5.0,$110.00,NNN
"100-700 Technology Square  Cambridge, MA",1964 / 2001,1660578,Intellia Therapeutics,147000,Jul. 2025,13.4,$108.00,NNN
"100 Cambridgeside Place  Cambridge, MA",1985 / 2023,163000,"Smartlabs, Inc.",163000,Sep. 2024,15.0,$135.00,NNN
"441 Morgan Avenue  Cambridge, MA",2024 / NAP,375000,Astellas Pharma,63000,Jul. 2024,11.0,$106.00,NNN
"585 Third Street  Cambridge, MA",2026 / NAP,605000,Takeda Pharmaceuticals,605000,Mar. 2026,15.0,$135.00,NNN
"Confidential  Boston, MA",1958 / 2019,705465,Confidential,58063,May 2024,10.0,$87.00,NNN
