0,1,2,3,4,5,6,7,8
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information,Property Information
Mortgage Loan Sellers:,Mortgage Loan Sellers:,SGFC,SGFC,SGFC,,Single Asset/Portfolio:,Portfolio,Portfolio
,,,,,,Location(4):,"Various, Various","Various, Various"
Original Balance(1):,Original Balance(1):,"$35,000,000","$35,000,000","$35,000,000",,General Property Type:,Self Storage,Self Storage
Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$34,733,694","$34,733,694","$34,733,694",,Detailed Property Type:,Self Storage,Self Storage
% of Initial Pool Balance:,% of Initial Pool Balance:,5.9%,5.9%,5.9%,,Title Vesting:,Fee,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated(4):,Various/Various,Various/Various
Borrower Sponsor:,Borrower Sponsor:,U-Haul Holding Company,U-Haul Holding Company,U-Haul Holding Company,,Size:,"733,516 SF","733,516 SF"
Guarantor:,Guarantor:,U-Haul Holding Company,U-Haul Holding Company,U-Haul Holding Company,,Cut-off Date Balance per SF(1):,$141,$141
Mortgage Rate(2):,Mortgage Rate(2):,5.5800%,5.5800%,5.5800%,,Maturity Date Balance per SF(1):,$109,$109
Note Date:,Note Date:,11/6/2025,11/6/2025,11/6/2025,,Property Manager:,Various,Various
Maturity Date(2):,Maturity Date(2):,11/6/2035,11/6/2035,11/6/2035,,Underwriting and Financial Information,Underwriting and Financial Information,Underwriting and Financial Information
Term to Maturity:,Term to Maturity:,120 months,120 months,120 months,,UW NOI:,UW NOI:,"$10,926,646"
Amortization Term:,Amortization Term:,300 months,300 months,300 months,,UW NCF:,UW NCF:,"$10,816,619"
IO Period:,IO Period:,0 months,0 months,0 months,,UW NOI Debt Yield(1):,UW NOI Debt Yield(1):,10.6%
Seasoning:,Seasoning:,5 months,5 months,5 months,,UW NCF Debt Yield(1):,UW NCF Debt Yield(1):,10.5%
Prepayment Provisions:,Prepayment Provisions:,"L(29),DorYM1(84),O(7)","L(29),DorYM1(84),O(7)","L(29),DorYM1(84),O(7)",,UW NOI Debt Yield at Maturity(1)(2):,UW NOI Debt Yield at Maturity(1)(2):,13.7%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Soft/Springing,Soft/Springing,Soft/Springing,,UW NCF DSCR(1):,UW NCF DSCR(1):,1.40x
Additional Debt Type(1):,Additional Debt Type(1):,Pari Passu,Pari Passu,Pari Passu,,Most Recent NOI:,Most Recent NOI:,"$11,096,328 (7/31/2025 TTM)"
Additional Debt Balance(1):,Additional Debt Balance(1):,"$68,474,997","$68,474,997","$68,474,997",,2nd Most Recent NOI:,2nd Most Recent NOI:,"$11,006,418 (3/31/2025)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,3rd Most Recent NOI:,3rd Most Recent NOI:,"$11,004,553 (3/31/2024)"
,,,,,,Most Recent Occupancy:,Most Recent Occupancy:,93.1% (7/1/2025)
Reserves(3),Reserves(3),Reserves(3),Reserves(3),Reserves(3),,2nd Most Recent Occupancy:,2nd Most Recent Occupancy:,91.5% (12/31/2024)
Type,Initial,Initial,Monthly,Cap,,3rd Most Recent Occupancy:,3rd Most Recent Occupancy:,93.3% (12/31/2023)
RE Taxes:,$0,$0,Springing,NAP,,Appraised Value (as of)(5):,Appraised Value (as of)(5):,"$199,300,000 (9/23/2025)"
Insurance:,$0,$0,Springing,NAP,,Appraised Value per SF(5):,Appraised Value per SF(5):,$272
Replacement Reserve:,$0,$0,Springing,"$55,014",,Cut-off Date LTV Ratio(1)5):,Cut-off Date LTV Ratio(1)5):,51.8%
,,,,,,Maturity Date LTV Ratio(1)(2)(5):,Maturity Date LTV Ratio(1)(2)(5):,40.0%
,,,,,,,,
