0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,Initial  Principal  Amount(2),Initial  Principal  Amount(2),,,Initial  Offered  Amount(3),Initial  Offered  Amount(3),,,Interest  Rate(4),Interest  Rate(4),,,Final Scheduled  Payment Date,,Expected  Final  Payment Date
Class A-1  Notes,,$,405600000,,,$,385320000,,,,●%,,,"August 21, 2025",,"March 21, 2025"
Class  A-2 Notes,,$,523400000,,,$,497230000,,,,●%,,,"February 22, 2027",,"March 23, 2026"
Class A-3 Notes,,$,576000000,,,$,547200000,,,,●%,,,"March 21, 2029",,"October 21, 2027"
Class  A-4 Notes,,$,73950000,,,$,70250000,,,,●%,,,"November 21, 2030",,"October 21, 2027"
Total,,$,1578950000,,,$,1500000000,,,,,,,,,
