0,1,2,3
,Non-Serviced  Mortgage Loan,Primary  Servicing Fee Rate(1),Special  Servicing Fee Rate(2)
,Sheraton Denver Downtown Hotel,0.00125% per annum,0.25%
,U-Haul AREC RW Portfolio,0.00125% per annum,0.25%
,255 Greenwich,0.00250% per annum,0.25%
,Ellenton Premium Outlets,0.00250% per annum,0.25%
,Brandywine Regency Warehouse & Distribution Center,0.00125% per annum,0.25%
,Birch Run Premium Outlets,0.00125% per annum,0.25%
,Houston Multifamily Portfolio,0.00125% per annum,0.25%
,Landstown Commons,0.00125% per annum,0.25%
,"Park Center Plaza I, II, III",0.00125% per annum,0.25%
