0,1,2,3
Master Trust Receivable Static Pool Delinquency Categorization By Dollar Amount for Yearly Origination Pools(16)(17)  2024,Master Trust Receivable Static Pool Delinquency Categorization By Dollar Amount for Yearly Origination Pools(16)(17)  2024,Master Trust Receivable Static Pool Delinquency Categorization By Dollar Amount for Yearly Origination Pools(16)(17)  2024,Master Trust Receivable Static Pool Delinquency Categorization By Dollar Amount for Yearly Origination Pools(16)(17)  2024
,,,Delinquencies
