0,1,2,3,4,5,6,7,8
,,Selling  Concessions  not to exceed,Selling  Concessions  not to exceed,,,Reallowance  not to exceed,Reallowance  not to exceed,
Class A-1  Notes,,,●,%,,,●,%
Class A-2-A  Notes,,,●,%,,,●,%
Class A-2-B  Notes,,,●,%,,,●,%
Class A-3  Notes,,,●,%,,,●,%
Class A-4  Notes,,,●,%,,,●,%
Class B Notes,,,●,%,,,●,%
Class C Notes,,,●,%,,,●,%
