0,1,2,3
,Fair Value  (in millions),,Fair Value  (as a percentage of the aggregate fair  value of the Notes and Certificates)
Class A-1 Notes,$249.6,,13.8%
Class A-2a Notes,$290.1,,16.0%
Class A-2b Notes,$290.1,,16.0%
Class A-3 Notes,$580.2,,32.0% - 32.1%
Class A-4 Notes,$90.0,,5.0%
Certificates,$309.7 - $315.2,,17.1% - 17.4%
Total,"$1,809.7 - $1,815.2",,100.0%
