0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Mortgaged Property Information,Mortgaged Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,AREF2,AREF2,AREF2,,Single Asset/Portfolio:,Portfolio
,,,,,,Location:,"Cleveland, OH Various"
Original Balance:,Original Balance:,"$38,000,000","$38,000,000","$38,000,000",,General Property Type(3):,Various
Cut-off Date Balance:,Cut-off Date Balance:,"$38,000,000","$38,000,000","$38,000,000",,Detailed Property Type(3):,Various / Various
% of Initial Pool Balance:,% of Initial Pool Balance:,5.5%,5.5%,5.5%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated(4):,Various / Various
Borrower Sponsors:,Borrower Sponsors:,Ari J. Maron and Jori M. Maron,Ari J. Maron and Jori M. Maron,Ari J. Maron and Jori M. Maron,,Size:,"233,873 SF"
Guarantors(1):,Guarantors(1):,Various,Various,Various,,Cut-off Date Balance PSF:,$162
Mortgage Rate:,Mortgage Rate:,7.5000%,7.5000%,7.5000%,,Maturity Balance PSF:,$162
Note Date:,Note Date:,9/18/2025,9/18/2025,9/18/2025,,Property Manager:,"Gregg Road Management, LLC (affiliated)"
Maturity Date:,Maturity Date:,10/6/2035,10/6/2035,10/6/2035,,,"Gregg Road Management, LLC (affiliated)"
Term to Maturity:,Term to Maturity:,120 months,120 months,120 months,,Underwriting and Financial Information,Underwriting and Financial Information
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NOI:,"$4,245,224"
IO Period:,IO Period:,120 months,120 months,120 months,,UW NCF,"$4,004,501"
Seasoning:,Seasoning:,0 months,0 months,0 months,,UW NOI Debt Yield:,11.2%
Prepayment Provisions:,Prepayment Provisions:,"L(24),D(92),O(4)","L(24),D(92),O(4)","L(24),D(92),O(4)",,UW NCF Debt Yield:,10.5%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Hard (Commercial); Soft (Residential)/Springing,Hard (Commercial); Soft (Residential)/Springing,Hard (Commercial); Soft (Residential)/Springing,,UW NOI Debt Yield at Maturity:,11.2%
Additional Debt Type:,Additional Debt Type:,NAP,NAP,NAP,,UW NCF DSCR:,1.39x
Additional Debt Balance:,Additional Debt Balance:,NAP,NAP,NAP,,Most Recent NOI:,"$4,103,490 (6/30/2025 TTM)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NOI:,"$3,945,387 (12/31/2024)"
Reserves(2),Reserves(2),Reserves(2),Reserves(2),Reserves(2),,3rd Most Recent NOI:,"$3,968,982 (12/31/2023)"
Type,Initial,Initial,Monthly,Cap,,Most Recent Occupancy:,96.0% (9/2/2025)
RE Taxes:,"$403,878","$403,878","$80,776",NAP,,2nd Most Recent Occupancy:,95.3% (12/31/2024)
Insurance:,"$32,877","$32,877",Springing,NAP,,3rd Most Recent Occupancy:,95.1% (12/31/2023)
Deferred Maintenance:,"$46,805","$46,805",$0,NAP,,Appraised Value (as of):,"$55,950,000 (8/7/2025)"
Replacement Reserve:,$0,$0,"$5,965",NAP,,Appraised Value per SF:,$239
TI/LC Reserve:,"$500,000","$500,000","$14,095","$750,000",,Cut-off Date LTV Ratio:,67.9%
,,,,,,Maturity Date LTV Ratio:,67.9%
,,,,,,,
,,,,,,,
