0,1,2,3,4,5,6,7,8,9,10
Underwriters,,,Class A-1 Notes,Class A-1 Notes,,Class A-2a Notes,Class A-2a Notes,,Class A-2b Notes,Class A-2b Notes
Citigroup Global Markets Inc.,Citigroup Global Markets Inc.,,$,●,,$,●,,$,●
Scotia Capital (USA) Inc.,Scotia Capital (USA) Inc.,,,●,,,●,,,●
"SMBC Nikko Securities America, Inc.","SMBC Nikko Securities America, Inc.",,,●,,,●,,,●
Deutsche Bank Securities Inc.,Deutsche Bank Securities Inc.,,,●,,,●,,,●
Mizuho Securities USA LLC,Mizuho Securities USA LLC,,,●,,,●,,,●
Total,Total,,$,●,,$,●,,$,●
,,,,,,,,,,
Underwriters,,,Class A-3 Notes,Class A-3 Notes,,Class A-4 Notes,Class A-4 Notes,,Class B Notes,Class B Notes
Citigroup Global Markets Inc.,Citigroup Global Markets Inc.,,$,●,,$,●,,$,●
Scotia Capital (USA) Inc.,Scotia Capital (USA) Inc.,,,●,,,●,,,●
"SMBC Nikko Securities America, Inc.","SMBC Nikko Securities America, Inc.",,,●,,,●,,,●
Deutsche Bank Securities Inc.,Deutsche Bank Securities Inc.,,,●,,,●,,,●
Mizuho Securities USA LLC,,,,●,,,●,,,●
Total,Total,,$,●,,$,●,,$,●
