0,1,2,3,4,5,6
Mortgage  Loan No. 9 The Bluffs,Mortgage  Loan No. 9 The Bluffs,Mortgage  Loan No. 9 The Bluffs,Mortgage  Loan No. 9 The Bluffs,Mortgage  Loan No. 9 The Bluffs,Mortgage  Loan No. 9 The Bluffs,Mortgage  Loan No. 9 The Bluffs
,,,,,,
Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,,Property  Information,Property  Information
Mortgage Loan Seller:,JPMCB,JPMCB,JPMCB,,Single Asset/Portfolio:,Single Asset
,,,,,Location:,"Junction City, KS 66441"
Original Balance:,"$38,000,000","$38,000,000","$38,000,000",,General Property Type:,Multifamily
Cut-off Date Balance:,"$38,000,000","$38,000,000","$38,000,000",,Detailed Property Type:,Garden
% of Initial Pool Balance:,5.0%,5.0%,5.0%,,Title Vesting:,Fee
Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,2008/2025
Borrower Sponsor:,"Consolidated Capital Investments, LLC","Consolidated Capital Investments, LLC","Consolidated Capital Investments, LLC",,Size:,544 Units
Guarantor:,"Consolidated Capital Investments, LLC","Consolidated Capital Investments, LLC","Consolidated Capital Investments, LLC",,Cut-off Date Balance Per Unit:,"$69,853"
Mortgage Rate:,6.2200%,6.2200%,6.2200%,,Maturity Date Balance Per Unit:,"$69,853"
Note Date:,12/22/2025,12/22/2025,12/22/2025,,Property Manager:,"Eucalyptus Real Estate,"
Maturity Date:,1/1/2031,1/1/2031,1/1/2031,,,LLC (borrower-related)
Term to Maturity:,60 Months,60 Months,60 Months,,,
Amortization Term:,0 Months,0 Months,0 Months,,Underwriting  and Financial Information,Underwriting  and Financial Information
IO Period:,60 Months,60 Months,60 Months,,UW NOI:,"$3,944,936"
Seasoning:,2 Months,2 Months,2 Months,,UW NCF:,"$3,727,336"
Prepayment Provisions:,"L(26),D(31),O(3)","L(26),D(31),O(3)","L(26),D(31),O(3)",,UW NOI Debt Yield:,10.4%
Lockbox/Cash Mgmt Status:,Springing/Springing,Springing/Springing,Springing/Springing,,UW NCF Debt Yield:,9.8%
Additional Debt Type:,NAP,NAP,NAP,,UW NOI Debt Yield at Maturity:,10.4%
Additional Debt Balance:,NAP,NAP,NAP,,UW NCF DSCR:,1.56x
Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,Most Recent NOI:,"$3,927,267 (11/30/2025 TTM)"
,,,,,2nd Most Recent NOI:,"$3,506,224 (12/31/2024)"
,,,,,3rd Most Recent NOI:,"$3,075,974 (12/31/2023)"
Reserves(1),Reserves(1),Reserves(1),Reserves(1),,Most Recent Occupancy:,94.9% (12/2/2025)
Type,Initial,Monthly,Cap,,2nd Most Recent Occupancy:,93.6% (12/31/2024)
Tax Reserve:,"$148,528","$52,572",NAP,,3rd Most Recent Occupancy:,87.3% (12/31/2023)
Insurance Reserve:,$0,Springing,NAP,,Appraised Value (as of):,"$64,200,000 (11/11/2025)"
Replacement Reserve:,$0,"$18,133",NAP,,Appraised Value Per Unit:,"$118,015"
,,,,,Cut-off Date LTV Ratio:,59.2%
,,,,,Maturity Date LTV Ratio:,59.2%
,,,,,,
,,,,,,
,,,,,,
