0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,MSMCH,MSMCH,MSMCH,,Single Asset/Portfolio:,Single Asset
,,,,,,Location:,"Brooklyn, NY 11238"
Original Balance(1):,Original Balance(1):,"$30,000,000","$30,000,000","$30,000,000",,General Property Type:,Multifamily
Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$30,000,000","$30,000,000","$30,000,000",,Detailed Property Type:,High Rise
% of Initial Pool Balance:,% of Initial Pool Balance:,4.2%,4.2%,4.2%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,2023/NAP
Borrower Sponsors:,Borrower Sponsors:,David Bistricer and Sam Levinson,David Bistricer and Sam Levinson,David Bistricer and Sam Levinson,,Size:,175 Units
Guarantor:,Guarantor:,Clipper Realty Inc.,Clipper Realty Inc.,Clipper Realty Inc.,,Cut-off Date Balance per Unit(1):,"$482,857"
Mortgage Rate:,Mortgage Rate:,5.7300%,5.7300%,5.7300%,,Maturity Date Balance per Unit(1):,"$482,857"
Note Date:,Note Date:,10/1/2025,10/1/2025,10/1/2025,,Property Manager:,Clipper Realty L.P.
Maturity Date:,Maturity Date:,10/6/2030,10/6/2030,10/6/2030,,,(borrower-related)
Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,Underwriting  and Financial Information,Underwriting  and Financial Information
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NOI:,"$6,509,472"
IO Period:,IO Period:,60 months,60 months,60 months,,UW NCF:,"$6,465,722"
Seasoning:,Seasoning:,2 months,2 months,2 months,,UW NOI Debt Yield(1):,7.7%
Prepayment Provisions:,Prepayment Provisions:,"L(26),D(27),O(7)","L(26),D(27),O(7)","L(26),D(27),O(7)",,UW NCF Debt Yield(1):,7.7%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Springing/Springing,Springing/Springing,Springing/Springing,,UW NOI Debt Yield at Maturity(1):,7.7%
Additional Debt Type(1):,Additional Debt Type(1):,Pari Passu,Pari Passu,Pari Passu,,UW NCF DSCR(1):,1.32x
Additional Debt Balance(1):,Additional Debt Balance(1):,"$54,500,000","$54,500,000","$54,500,000",,Most Recent NOI:,"$6,035,495 (7/31/2025 TTM)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NOI:,"$6,208,777 (12/31/2024)"
,,,,,,3rd Most Recent NOI(3):,NAV
,,,,,,Most Recent Occupancy:,97.7% (9/29/2025)
Reserves(2),Reserves(2),Reserves(2),Reserves(2),Reserves(2),,2nd Most Recent Occupancy:,97.3% (12/31/2024)
Type,Initial,Initial,Monthly,Cap,,3rd Most Recent Occupancy(3):,NAV
RE Taxes:,"$39,070","$39,070","$7,814",NAP,,Appraised Value (as of):,"$123,000,000 (8/28/2025)"
Insurance:,"$81,576","$81,576","$13,596",NAP,,Appraised Value per Unit:,"$702,857"
Replacement Reserve:,$0,$0,"$3,646",NAP,,Cut-off Date LTV Ratio(1):,68.7%
Rent Holdback Reserve:,"$120,793","$120,793",$0,NAP,,Maturity Date LTV Ratio(1):,68.7%
,,,,,,,
