0,1,2,3,4,5
,,,,,
Monthly Period,,Delinquency Trigger,Delinquency Trigger,Delinquency Trigger,Delinquency Trigger
1 to 12,,,,2.70,%
13 to 24,,,,2.90,%
25 to 36,,,,3.10,%
37 to 48,,,,4.60,%
49 and after,,,,4.60,%
