0,1,2,3
,Fair Value  (in millions),,Fair Value  (as a percentage of the aggregate fair value of the Notes and Certificates)
Class A-1 Notes,$150.0,,12.3%
Class A-2a Notes,$187.5 - $375.0,,15.4% - 30.7%
Class A-2b Notes,$0.0 - $187.5,,0.0% - 15.4%
Class A-3 Notes,$375.0,,30.7%
Class A-4 Notes,$100.0,,8.2%
Certificates,$219.6 - $221.2,,18.0%-18.1%
Total,"$1,219.6 - $1,221.2",,100.0%
