0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
,,,,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,
,,,,Total for Month,Total for Month,Total for Month,Total for Month,Total for Month,Total for Month,,,Cumulative,Cumulative,Cumulative,Cumulative,Cumulative,Cumulative,
Month,,Prepayment Speeds,,$,$,,,%,%,,,$,$,,,%,%,
Aug-24,,1.54,,,—,,,,0.000000,%,,,—,,,,0.000000,%
Sep-24,,1.49,,,30223.95,,,,0.002711,%,,,30223.95,,,,0.002711,%
Oct-24,,1.58,,,21828.89,,,,0.001958,%,,,52052.84,,,,0.004669,%
Nov-24,,1.47,,,349751.21,,,,0.031371,%,,,401804.05,,,,0.036040,%
Dec-24,,1.37,,,264502.82,,,,0.023725,%,,,666306.87,,,,0.059765,%
Jan-25,,1.46,,,197017.51,,,,0.017672,%,,,863324.38,,,,0.077437,%
Feb-25,,1.39,,,522698.31,,,,0.046884,%,,,1386022.69,,,,0.124320,%
Mar-25,,1.60,,,501857.06,,,,0.045014,%,,,1887879.75,,,,0.169335,%
Apr-25,,1.49,,,473186.75,,,,0.042443,%,,,2361066.50,,,,0.211778,%
May-25,,1.45,,,315816.55,,,,0.028327,%,,,2676883.05,,,,0.240105,%
Jun-25,,1.42,,,489642.53,,,,0.043919,%,,,3166525.58,,,,0.284024,%
Jul-25,,1.48,,,287732.15,,,,0.025808,%,,,3454257.73,,,,0.309832,%
Aug-25,,1.39,,,436913.35,,,,0.039189,%,,,3891171.08,,,,0.349022,%
Sep-25,,1.42,,,252416.21,,,,0.022641,%,,,4143587.29,,,,0.371662,%
Oct-25,,1.42,,,335172.25,,,,0.030064,%,,,4478759.54,,,,0.401726,%
Nov-25,,1.25,,,722758.57,,,,0.064828,%,,,5201518.11,,,,0.466554,%
Dec-25,,1.38,,,133242.05,,,,0.011951,%,,,5334760.16,,,,0.478506,%
Jan-26,,1.27,,,365040.84,,,,0.032743,%,,,5699801.00,,,,0.511248,%
